sku,22k,18k,14k,9k
GB00001,33532,,,
GB00002,33550,,,
GB00003,31873,,,
GB00004,31873,,,
GB00005,33550,,,
GB00006,33550,,,
GB00007,33550,,,
GB00008,33550,,,
GB00009,33550,,,
GB00010,33550,,,
GB00011,41267,,,
GB00012,41267,,,
GB00013,40260,,,
GB00014,40260,,,
GB00015,37912,,,
GB00016,37912,,,
GB00017,33550,,,
GB00018,33550,,,
GB00019,41938,,,
GB00020,41938,,,
GB00021,39421,,,
GB00022,39421,,,
GB00023,93940,,,
GB00024,93940,,,
GB00025,48648,,,
GB00026,48648,,,
GB00027,41938,,,
GB00028,41938,,,
GB00029,46131,,,
GB00030,46131,,,
GB00031,40260,,,
GB00032,40260,,,
GB00033,40260,,,
GB00034,40260,,,
GB00035,45293,,,
GB00036,45293,,,
GB00037,43615,,,
GB00038,43615,,,
GB00039,40260,,,
GB00040,40260,,,
GB00041,46970,,,
GB00042,46970,,,
GB00043,50325,,,
GB00044,50325,,,
GB00045,43615,,,
GB00046,43615,,,
GB00047,43615,,,
GB00048,43615,,,
GB00049,40190,,,
GB00050,40190,,,
GB00051,40190,,,
GB00052,40190,,,
GB00053,40190,,,
GB00054,40190,,,
GB00055,73884,,,
GB00056,73884,,,
GB00057,43640,,,
GB00058,43640,,,
GB00059,48715,,,
GB00060,48715,,,
GB00061,100677,,,
GB00062,100677,,,
GB00063,43640,,,
GB00064,43640,,,
GB00065,29432,,,
GB00066,29432,,,
GB00067,37754,,,
GB00068,37754,,,
GB00069,41813,,,
GB00070,41813,,,
GB00071,45264,,,
GB00072,45264,,,
GB00073,50338,,,
GB00074,50338,,,
GB00075,46076,,,
GB00076,46076,,,
GB00077,50338,,,
GB00078,50338,,,
GB00079,46076,,,
GB00080,46076,,,
GB00081,41813,,,
GB00082,41813,,,
GB00083,26793,,,
GB00084,26793,,,
GB00085,29432,,,
GB00086,29432,,,
GS00001,50325,36198,,
GS00002,50325,36198,,
GS00003,57035,41025,,
GS00004,57035,41025,,
GS00005,67100,48264,,
GS00006,67100,48264,,
GS00007,73803,53086,,
GS00008,73803,53086,,
GS00009,63745,45851,,
GS00010,63745,45851,,
GS00011,80520,57917,,
GS00012,80520,57917,,
GS00013,60390,43438,,
GS00014,60390,43438,,
GS00015,77165,55504,,
GS00016,77165,55504,,
GS00017,53680,38612,,
GS00018,53680,38612,,
GS00019,50325,36198,,
GS00020,50325,36198,,
GS00021,100650,72397,,
GS00022,100650,72397,,
GS00023,53680,38612,,
GS00024,53680,38612,,
GS00025,70455,50678,,
GS00026,70455,50678,,
GS00027,63745,45851,,
GS00028,63745,45851,,
GS00029,70455,50678,,
GS00030,70455,50678,,
K000001,36905,,,
K000004,22479,,,
K000007,15098,,,
K000010,63745,,,
K000013,15098,,,
K000016,15098,,,
K000019,15098,,,
K000022,15098,,,
K000025,22479,,,
K000028,25834,,,
K000031,36905,,,
K000034,15098,,,
K000037,49319,,,
