sku,18K,14K,9K
C000666,68410,63752,58290
C000665,68410,63752,58290
C000662,32990,29655,25745
C000663,32990,29655,25745
C000770,12270,10487,8187
C000771,12270,10487,8187
C000223,1000,1000,1000
C000623,17445,16122,14627
C000624,17445,16122,14627
C000626,21585,20032,18135
C000627,21585,20032,18135
C000776,193357,183467,171795
C000777,193357,183467,171795
C000797,225212,222222,218715
C000798,225212,222222,218715
C000800,224235,221417,218082
C000801,224235,221417,218082
C000803,31150,28102,24595
C000804,31150,28102,24595
C000806,53632,50240,46215
C000807,53632,50240,46215
C000809,61222,54610,46847
C000810,61222,54610,46847
C000812,64557,59382,53402
C000813,64557,59382,53402
C000815,89857,84567,78300
C000816,89857,84567,78300
C000818,49665,46272,42362
C000819,49665,46272,42362
C000821,52252,49090,45295
C000822,52252,49090,45295
C000824,85832,78817,70595
C000825,85832,78817,70595
C000827,73010,66225,58290
C000828,73010,66225,58290
C000830,14742,13650,12442
C000831,14742,13650,12442
C001778,23215,22620,20952
C001779,23215,22620,20952
C000836,16410,14570,12327
C000837,16410,14570,12327
C000839,21125,18767,16007
C000840,21125,18767,16007
C000842,49952,44662,38395
C000843,49952,44662,38395
C000845,27125,24192,21642
C000846,27125,24192,21642
C000857,41327,38337,34887
C000858,41327,38337,34887
C000851,23387,22390,20147
C000852,23387,22390,20147
C000866,55185,51390,46790
C000867,55185,51390,46790
C000869,36440,32645,28217
C000870,36440,32645,28217
C000872,49492,46502,42937
C000873,49492,46502,42937
C000875,23905,22792,20435
C000876,23905,22792,20435
C000914,22907,20492,17502
C000915,22907,20492,17502
C000921,38682,35865,32530
C000920,38682,35865,32530
C000924,54322,51045,47135
C000923,54322,51045,47135
C000927,67145,63350,58865
C000926,67145,63350,58865
C000930,68410,65535,62142
C000929,68410,65535,62142
C000939,66972,64040,60647
C000938,66972,64040,60647
C000948,78587,74275,69215
C000947,78587,74275,69215
C000996,33852,30000,25342
C000995,33852,30000,25342
C001023,31150,28102,24595
C001022,31150,28102,24595
C000900,15720,13937,11637
C000899,15720,13937,11637
C001077,17847,16065,13765
C001076,17847,16065,13765
C001058,58520,54380,49492
C001059,58520,54380,49492
C001061,54610,50297,45237
C001062,54610,50297,45237
C001067,35462,32645,29310
C001068,35462,32645,29310
C001073,43685,39257,34025
C001074,43685,39257,34025
C000881,28965,25975,23367
C000882,28965,25975,23367
C000884,27987,25170,22735
C000885,27987,25170,22735
C000887,14282,12442,10200
C000888,14282,12442,10200
C000890,67892,63292,57772
C000891,67892,63292,57772
C000893,28850,25860,23310
C000894,28850,25860,23310
C000896,33277,29942,26090
C000897,33277,29942,26090
C000902,30805,27872,24595
C000905,29885,25630,21585
C000906,29885,25630,21585
C000911,34657,30287,25055
C000912,34657,30287,25055
C000962,84970,80370,75022
C000963,84970,80370,75022
C001079,27067,24250,21815
C001080,27067,24250,21815
C001094,55702,51045,45525
C001095,55702,51045,45525
C001097,32300,29137,25457
C001098,32300,29137,25457
C001100,32990,29770,25975
C001101,32990,29770,25975
C001103,62200,57082,51045
C001104,62200,57082,51045
C001112,30862,27757,24192
C001115,91122,87385,83015
C001116,91122,87385,83015
C001118,64212,59727,54380
C001119,64212,59727,54380
C001124,122115,116595,110097
C001125,122115,116595,110097
C001127,73412,70767,67720
C001128,73412,70767,67720
C001130,47020,42132,36382
C001131,47020,42132,36382
C001133,60360,56680,52310
C001151,91812,86810,80830
C001152,91812,86810,80830
C001154,267935,264025,259425
C001155,267935,264025,259425
C001157,38625,34772,30345
C001158,38625,34772,30345
C001163,37762,33795,29252
C001164,37762,33795,29252
C001166,55990,51447,46042
C001167,55990,51447,46042
C001169,40120,37187,33680
C001170,40120,37187,33680
C001172,27010,22965,17157
C000671,27125,24882,23137
C000672,27125,24882,23137
C000674,30460,27585,24192
C000675,30460,27585,24192
C000677,27527,25227,23367
C000678,27527,25227,23367
C000683,24825,23885,21757
C000684,24825,23885,21757
C000686,30460,27930,25055
C000687,30460,27930,25055
C001184,13880,12270,10430
C001196,13247,11867,10257
C001197,13247,11867,10257
C001199,54437,50412,45697
C001200,54437,50412,45697
C001202,34887,32760,30230
C001203,34887,32760,30230
C001205,27125,25400,23445
C001206,27125,25400,23445
C001208,15777,13995,11867
C001209,15777,13995,11867
C001211,12730,11522,10085
C001212,12730,11522,10085
C001217,12615,11235,9625
C001218,12615,11235,9625
C001223,10890,9797,8475
C001224,10890,9797,8475
C001187,27297,23847,20607
C001188,27297,23847,20607
C001226,13420,11867,9970
C001227,13420,11867,9970
C001229,15260,13535,11522
C001230,15260,13535,11522
C001232,18077,16697,14972
C001233,18077,16697,14972
C001235,10660,9567,8417
C001236,10660,9567,8417
C001238,9912,8992,7842
C001239,9912,8992,7842
C001241,11867,10890,9797
C001242,11867,10890,9797
C001244,18020,16122,13880
C001245,18020,16122,13880
C001247,18020,16122,13880
C001248,18020,16122,13880
C001250,57370,53402,48745
C001251,57370,53402,48745
C001256,21297,18480,15202
C001257,21297,18480,15202
C001262,14282,12385,10200
C001263,14282,12385,10200
C001265,14800,12845,10545
C001266,14800,12845,10545
C001268,15835,13937,11580
C001269,15835,13937,11580
C001274,15375,13477,11292
C001275,15375,13477,11292
C001271,63120,60647,57657
C001272,63120,60647,57657
C001277,12730,11522,10085
C001278,12730,11522,10085
C001280,21757,19112,16007
C001281,21757,19112,16007
C001283,13190,11580,9625
C001284,13190,11580,9625
C001286,20952,19055,16870
C001287,20952,19055,16870
C001289,23502,23137,21642
C001290,23502,23137,21642
C001292,16352,14685,12672
C001293,16352,14685,12672
C001295,30690,27930,24710
C001296,30690,27930,24710
C001298,22850,20205,17100
C001299,22850,20205,17100
C001301,22160,19860,17272
