sku,22k,18k,14k,9k,siij_price_22,sigh_price_22,vsgh_price_22,vvsgh_price_22,vvsef_price_22,siij_price_18,sigh_price_18,vsgh_price_18,vvsgh_price_18,vvsef_price_18,siij_price_14,sigh_price_14,vsgh_price_14,vvsgh_price_14,vvsef_price_14,siij_price_9,sigh_price_9,vsgh_price_9,vvsgh_price_9,vvsef_price_9
C000125,0,16477,13914,11013,0,0,0,0,0,15458,16477,17904,19535,20554,12895,13914,15341,16972,17991,9993,11013,12439,14070,15089
C000126,0,16477,13914,11013,0,0,0,0,0,15458,16477,17904,19535,20554,12895,13914,15341,16972,17991,9993,11013,12439,14070,15089
C000128,0,31392,27077,24475,0,0,0,0,0,27349,31392,34279,38900,41788,23034,27077,29965,34585,37473,20432,24475,27362,31983,34871
C000129,0,31392,27077,24475,0,0,0,0,0,27349,31392,34279,38900,41788,23034,27077,29965,34585,37473,20432,24475,27362,31983,34871
C000131,0,82811,78571,74548,0,0,0,0,0,74317,82811,91304,108291,116784,70077,78571,87064,104051,112544,66055,74548,83042,100028,108522
C000132,0,82811,78571,74548,0,0,0,0,0,74317,82811,91304,108291,116784,70077,78571,87064,104051,112544,66055,74548,83042,100028,108522
C000134,0,19212,16615,13693,0,0,0,0,0,17072,19212,20741,23187,24716,14474,16615,18144,20590,22119,11553,13693,15222,17668,19197
C000135,0,19212,16615,13693,0,0,0,0,0,17072,19212,20741,23187,24716,14474,16615,18144,20590,22119,11553,13693,15222,17668,19197
C000137,0,24427,20884,18582,0,0,0,0,0,21573,24427,26465,29727,31765,18030,20884,22922,26183,28222,15728,18582,20620,23882,25920
C000138,0,24427,20884,18582,0,0,0,0,0,21573,24427,26465,29727,31765,18030,20884,22922,26183,28222,15728,18582,20620,23882,25920
C000140,0,117888,112040,106937,0,0,0,0,0,109395,117888,134875,168849,190082,103546,112040,129027,163000,184234,98444,106937,123924,157897,179131
C000141,0,117888,112040,106937,0,0,0,0,0,109395,117888,134875,168849,190082,103546,112040,129027,163000,184234,98444,106937,123924,157897,179131
C000143,0,27587,23272,20670,0,0,0,0,0,24376,27587,29880,33549,35842,20061,23272,25565,29234,31528,17459,20670,22963,26632,28925
C000144,0,27587,23272,20670,0,0,0,0,0,24376,27587,29880,33549,35842,20061,23272,25565,29234,31528,17459,20670,22963,26632,28925
