C000125,1,10266,9426,8466,,,, 
C000126,1,10266,9426,8466,,,,
C000127,0,14496,13056,11376,,,,
C000128,75,18336,17166,15816,,,,
C000129,75,18336,17166,15816,,,,
C000130,0,24426,22446,20106,,,,
C000131,0,27786,26436,24846,,,,
C000132,0,27786,26436,24846,,,,
C000133,0,35436,33036,30216,,,,
C000134,2,12366,11526,10536,,,,
C000135,2,12366,11526,10536,,,,
C000136,0,16686,15216,13506,,,,
C000137,3,15276,14256,13056,,,,
C000138,3,15276,14256,13056,,,,
C000139,0,20496,18726,16656,,,,
C000140,0,53586,51756,49626,,,,
C000141,0,53586,51756,49626,,,,
C000142,0,61356,58536,55236,,,,
C000143,6,16416,15246,13896,,,,
C000144,0,16416,15246,13896,,,,
C000145,0,22206,20226,17916,,,,
C000146,5,31296,29316,26946,,,,
C000147,5,31296,29316,26946,,,,
C000148,0,40326,37146,33396,,,,
C000149,8,12126,10866,9366,,,,
C000150,8,12126,10866,9366,,,,
C000151,0,17676,15666,13326,,,,
C000152,10,30216,28596,26226,,,,
C000153,10,29616,27996,26106,,,,
C000154,0,36516,33996,31056,,,,
C000155,0,68766,67266,65526,,,,
C000156,0,68766,67266,65526,,,,
C000157,0,75096,72786,70086,,,,
C000158,11,20076,18576,16836,,,,
C000159,0,20076,18576,16836,,,,
C000160,0,26526,24216,21486,,,,
C000161,12,16326,14886,13176,,,,
C000162,0,16326,14886,13176,,,,
C000163,0,22536,20286,17646,,,,
C000164,13,19566,18066,16266,,,,
C000165,13,19566,18066,16266,,,,
C000166,0,26076,23706,20946,,,,
C000167,16,31746,29736,27366,,,,
C000168,0,31746,29736,27366,,,,
C000169,0,40326,37206,33546,,,,
C000170,17,16866,15456,13806,,,,
C000171,17,16866,15456,13806,,,,
C000172,0,22986,20796,18216,,,,
C000173,14,19086,17496,15636,,,,
C000174,14,19086,17496,15636,,,,
C000175,0,25926,23466,20556,,,,
C000176,15,31836,29766,27366,,,,
C000177,0,31836,29766,27366,,,,
C000178,0,42606,39096,34926,,,,
C000179,18,23076,21426,19476,,,,
C000180,18,23076,21426,19476,,,,
C000181,0,30126,27576,24546,,,,
C000182,19,19806,18516,16986,,,,
C000183,19,19806,18516,16986,,,,
C000184,0,25356,23346,20976,,,,
C000185,20,19566,17886,15906,,,,
C000186,20,19566,17886,15906,,,,
C000187,0,26796,24186,21096,,,,
C000188,21,14466,13236,11796,,,,
C000189,21,14466,13236,11796,,,,
C000190,0,20796,18666,16176,,,,
C000191,22,16806,15516,14016,,,,
C000192,22,16806,15516,14016,,,,
C000193,0,22326,20346,17976,,,,
C000194,23,20976,18606,15816,,,,
C000195,23,20976,18606,15816,,,,
C000196,0,33666,29556,24726,,,,
C000197,24,20196,18876,17316,,,,
C000198,24,20196,18876,17316,,,,
C000199,0,26106,24036,21576,,,,
C000200,25,25176,22596,19596,,,,
C000201,0,25176,22596,19596,,,,
C000202,0,38886,34416,29166,,,,
C000203,26,68256,64236,59496,,,,
C000204,0,68256,64236,59496,,,,
C000205,0,89436,82506,74346,,,,
C000206,27,20196,18696,16926,,,,
C000207,27,20196,18696,16926,,,,
C000208,0,26706,24366,21606,,,,
C000209,28,19176,17856,16266,,,,
C000210,28,19176,17856,16266,,,,
C000211,0,24906,22836,20406,,,,
C000212,29,14226,12756,10986,,,,
C000213,29,14226,12756,10986,,,,
C000214,0,20736,18426,15666,,,,
C000215,30,17676,16356,14796,,,,
C000216,0,17676,16356,14796,,,,
C000217,0,23406,21336,18906,,,,
C000218,31,30456,28326,25806,,,,
C000219,31,30456,28326,25806,,,,
C000220,0,39636,36306,32406,,,,
C000221,136,10956,10086,9036,,,,
C000222,136,10956,10086,9036,,,,
C000223,0,15486,13956,12156,,,,
C000224,32,26616,24036,21006,,,,
C000225,0,26616,24036,21006,,,,
C000226,0,40356,35886,30636,,,,
C000227,33,35436,32856,29796,,,,
C000228,33,35436,32856,29796,,,,
C000229,0,49206,44736,39456,,,,
C000230,34,47826,43116,37566,,,,
C000231,0,47826,43116,37566,,,,
C000232,0,72966,64806,55206,,,,
C000233,35,24576,21996,18996,,,,
C000234,35,24576,21996,18996,,,,
C000235,0,38256,33816,28566,,,,
C000236,36,26106,24366,22326,,,,
C000237,36,26106,24366,22326,,,,
C000238,0,33576,30876,27696,,,,
C000239,74,23136,20976,18456,,,,
C000240,0,22986,20856,18366,,,,
C000241,0,34506,30816,26436,,,,
C000242,0,17196,15876,14316,,,,
C000243,0,17196,15876,14316,,,,
C000244,0,22926,20856,18456,,,,
C000245,37,16236,15366,14286,,,,
C000246,37,16236,15366,14286,,,,
C000247,0,20766,19236,17436,,,,
C000248,38,36426,34416,32076,,,,
C000249,38,36426,34416,32076,,,,
C000250,0,47046,43566,39516,,,,
C000251,39,45276,43296,40956,,,,
C000252,0,45276,43296,40956,,,,
C000253,0,55656,52236,48246,,,,
C000254,0,56316,54186,51666,,,,
C000255,0,56316,54186,51666,,,,
C000256,0,67536,63846,59526,,,,
C000257,0,57486,55356,52836,,,,
C000258,0,57486,55356,52836,,,,
C000259,0,68706,65016,60696,,,,
C000260,42,35406,31326,26526,,,,
C000261,42,35406,31326,26526,,,,
C000262,0,57216,50136,41826,,,,
C000263,43,20706,18726,16416,,,,
C000264,43,20706,18726,16416,,,,
C000265,0,31266,27816,23796,,,,
C000266,44,18276,16776,15006,,,,
C000267,44,18276,16776,15006,,,,
C000268,0,24756,22416,19656,,,,
C000269,45,19866,18186,16206,,,,
