sku,18k,14k,9k
C000370,10900,9300,7350
C000371,9800,8250,6250
C000372,9800,8250,6250
C000373,10900,9300,7350
C000374,9800,8250,6250
C000375,9800,8250,6250
C000376,10900,9300,7350
C000377,9800,8250,6250
C000378,9800,8250,6250
C000379,10900,9300,7350
C000380,9800,8250,6250
C000381,9800,8250,6250
C000382,10900,9300,7350
C000383,9800,8250,6250
C000384,9800,8250,6250
C000385,10900,9300,7350
C000386,9800,8250,6250
C000387,9800,8250,6250
C000388,10900,9300,7350
C000389,31450,27800,23450
C000390,31450,27800,23450
C000391,48450,42450,35450
C000392,232900,228850,224150
C000393,232900,228850,224150
C000394,253300,246450,238350
C000395,112250,104500,95400
C000396,112250,104500,95400
C000397,151950,138600,122950
C000398,37450,34150,30150
C000399,37450,34150,30150
C000400,52850,47400,41000
C000401,339050,334800,329850
C000402,339050,334800,329850
C000403,360550,353300,344800
C000404,348400,344000,338850
C000405,348400,344000,338850
C000406,370600,363100,354300
C000407,150800,147900,144450
C000408,150800,147900,144450
C000409,163750,159100,153600
C000410,157100,154700,151850
C000411,157100,154700,151850
C000412,164800,161350,157400
C000413,222450,219900,216850
C000414,222450,219900,216850
C000415,230250,226650,222450
C000416,349900,346050,341400
C000417,349900,346050,341400
C000418,377750,369750,360350
C000419,132200,130250,127950
C000420,132200,130250,127950
C000421,140750,137650,133900
C000422,92000,89950,87600
C000423,92000,89950,87600
C000424,101000,97650,93800
C000425,135100,133400,131450
C000426,135100,133400,131450
C000427,142200,139550,136400
C000428,254050,252650,251050
C000429,254050,252650,251050
C000430,259750,257550,255000
C000431,100100,97900,95400
C000432,100100,97900,95400
C000433,110450,106850,102500
C000434,19350,16200,12450
C000435,19350,16200,12450
C000436,30450,25850,20450
C000437,39050,35650,31650
C000438,39050,35650,31650
C000439,52100,46950,40950
C000440,126350,119400,111150
C000441,126350,119400,111150
C000442,162550,150450,136300
C000443,29200,27200,24850
C000444,29200,27200,24850
C000445,39250,35850,31800
C000446,68700,65950,62750
C000447,68700,65950,62750
C000448,80700,76350,71200
C000449,98500,96400,93800
C000450,98500,96400,93800
C000451,108500,104950,100750
C000452,23450,22200,20750
C000453,23450,22200,20750
C000454,31650,29200,26250
C000455,56200,53300,49850
C000456,56200,53300,49850
C000457,69150,64450,58950
C000458,41750,39150,36100
C000459,41750,39150,36100
C000460,49550,45950,41750
C000461,42500,40800,38850
C000462,42500,40800,38850
C000463,50550,47700,44400
C000464,37300,35550,33500
C000465,37300,35550,33500
C000466,46100,43100,39550
C000467,25150,23750,22200
C000468,25150,23750,22200
C000469,32100,29700,26950
C000470,56150,54800,53150
C000471,56150,54800,53150
C000472,61850,59650,57100
C000473,72400,70200,67700
C000474,72400,70200,67700
C000475,82750,79150,74850
C000476,20000,18400,16450
C000477,20000,18400,16450
C000478,28400,25600,22200
C000479,27050,24650,21850
C000480,27050,24650,21850
C000481,38100,34150,29600
C000482,17650,15950,13850
C000483,17650,15950,13850
C000484,26400,23450,19950
C000485,27600,25300,22600
C000486,27600,25300,22600
C000487,39300,35350,30750
C000488,37250,34650,31600
C000489,37250,34650,31600
C000490,49050,44850,39850
C000491,20550,18950,16950
C000492,20550,18950,16950
C000493,28950,26150,22750
C000494,20000,17850,15300
C000495,20000,17850,15300
C000496,31100,27350,22900
C000497,21050,18550,15650
C000498,21050,18550,15650
C000499,32350,28400,23650
C000500,27750,23850,19300
C000501,27750,23850,19300
C000502,45700,39400,31950
C000503,15200,13600,11600
C000504,15200,13600,11600
C000505,23600,20750,17400
C000506,16800,14600,11900
C000507,16800,14600,11900
C000508,28400,24500,19850
C000509,14400,12750,10800
C000510,14400,12750,10800
C000511,22800,19950,16550
C000512,32900,29700,25850
C000513,32900,29700,25850
C000514,47700,42450,36300
C000515,17650,15650,13200
C000516,17650,15650,13200
C000517,28150,24600,20400
C000518,26650,24950,23000
C000519,26650,24950,23000
C000520,35050,32150,28800
C000521,21750,20450,18900
C000522,21750,20450,18900
C000523,28250,26000,23400
C000524,36000,33500,30550
