sku,18k,14k,9k
C000125,14950,13400,11650
C000126,14950,13400,11650
C000127,22550,19950,16900
C000128,29250,27150,24700
C000129,29250,27150,24700
C000130,40300,36700,32450
C000131,46050,43550,40700
C000132,46050,43550,40700
C000133,59800,55450,50350
C000134,18700,17150,15350
C000135,18700,17150,15350
C000136,26450,23800,20650
C000137,23900,22000,19850
C000138,23900,22000,19850
C000139,33250,30050,26300
C000140,91750,88400,84500
C000141,91750,88400,84500
C000142,105750,100600,94550
C000143,25850,23750,21300
C000144,25850,23750,21300
C000145,36350,32750,28500
C000146,52400,48750,44500
C000147,52400,48750,44500
C000148,68650,62850,56050
C000149,18350,16000,13300
C000150,18350,16000,13300
C000151,28300,24700,20500
C000152,49350,46450,42950
C000153,49350,46450,42950
C000154,61750,57200,51850
C000155,118550,115750,112600
C000156,118550,115750,112600
C000157,129900,125650,120700
C000158,32450,29750,26550
C000159,32450,29750,26550
C000160,44000,39850,34850
C000161,25800,23150,20100
C000162,25800,23150,20100
C000163,37000,32950,28100
C000164,31500,28750,25550
C000165,31500,28750,25550
C000166,43250,38950,33900
C000167,53250,49500,45250
C000168,53250,49500,45250
C000169,68700,63000,56300
C000170,26800,24250,21250
C000171,26800,24250,21250
C000172,37800,33800,29050
C000173,30700,27800,24400
C000174,30700,27800,24400
C000175,43050,38550,33250
C000176,53400,49650,45250
C000177,53400,49650,45250
C000178,72750,66350,58850
C000179,37800,34750,31250
C000180,37800,34750,31250
C000181,50500,45800,40350
C000182,31900,29550,26750
C000183,31900,29550,26750
C000184,41900,38250,33950
C000185,31550,28500,24950
C000186,31550,28500,24950
C000187,44600,39850,34250
C000188,22500,20250,17600
C000189,22500,20250,17600
C000190,33950,30000,25450
C000191,26600,24250,21500
C000192,26600,24250,21500
C000193,36550,32950,28700
C000194,34300,29950,24950
C000195,34300,29950,24950
C000196,57100,49650,40850
C000197,32600,30250,27400
C000198,32600,30250,27400
C000199,43300,39450,34950
C000200,41750,37050,31500
C000201,41750,37050,31500
C000202,66450,58300,48800
C000203,118250,110850,102250
C000204,118250,110850,102250
C000205,156400,143800,128900
C000206,32650,29950,26700
C000207,32650,29950,26700
C000208,44350,40100,35050
C000209,30850,28400,25550
C000210,30850,28400,25550
C000211,41100,37350,32900
C000212,22150,19450,16250
C000213,22150,19450,16250
C000214,33850,29600,24650
C000215,28150,25750,22850
C000216,28150,25750,22850
C000217,38450,34700,30300
C000218,51000,47100,42500
C000219,51000,47100,42500
C000220,67500,61450,54350
C000221,16200,14600,12750
C000222,16200,14600,12750
C000223,24350,21600,18300
C000224,44300,39600,34050
C000225,44300,39600,34050
C000226,69000,60900,51350
C000227,59900,55200,49600
C000228,59900,55200,49600
C000229,84650,76500,66900
C000230,82350,73750,63600
C000231,82350,73750,63600
C000232,127650,112800,95250
C000233,40650,35950,30450
C000234,40650,35950,30450
C000235,65350,57250,47700
C000236,43150,40000,36250
C000237,43150,40000,36250
C000238,56600,51650,45900
C000239,38000,34100,29500
C000240,37750,33850,29350
C000241,58600,51800,43850
C000242,27300,24950,22100
C000243,27300,24950,22100
C000244,37650,33900,29500
C000245,25550,23900,21950
C000246,25550,23900,21950
C000247,33700,30900,27600
C000248,61500,57850,53550
C000249,61500,57850,53550
C000250,80600,74300,66850
C000251,77100,73500,69300
C000252,77100,73500,69300
C000253,95800,89650,82350
C000254,96650,92750,88100
C000255,96650,92750,88100
C000256,116850,110200,102300
C000257,98700,94850,90300
C000258,98700,94850,90300
C000259,118950,112200,104400
C000260,60200,52800,44050
C000261,60200,52800,44050
C000262,99550,86700,71450
C000263,33700,30100,25850
C000264,33700,30100,25850
C000265,52750,46500,39100
C000266,29300,26550,23300
C000267,29300,26550,23300
C000268,41000,36700,31650
C000269,32100,29000,25450
C000270,32100,29000,25450
C000271,45100,40400,34800
C000272,26100,23000,19450
C000273,26100,23000,19450
C000274,39100,34400,28800
C000275,39000,35350,31100
C000276,39000,35350,31100
C000277,58000,51750,44400
C000278,144300,140900,136950
C000279,144300,140900,136950
C000280,158350,153150,147000
C000281,135050,131250,126750
C000282,135050,131250,126750
C000283,154650,148150,140450
C000284,142350,139350,135800
C000285,142350,139350,135800
C000286,154900,150250,144800
C000287,119150,116300,112950
C000288,119150,116300,112950
C000289,129750,125550,120700
C000290,225050,221300,216900
C000291,225050,221300,216900
C000292,244050,237650,230200
C000293,155550,151500,146750
C000294,155550,151500,146750
C000295,176300,169400,161250
C000296,232050,228300,223850
C000297,232050,228300,223850
C000298,247400,241650,234900
C000299,142200,139150,135650
C000300,142200,139150,135650
C000301,154550,149950,144550
C000302,164150,160650,156450
C000303,164150,160650,156450
C000304,178800,173400,167000
C000305,212300,208750,204600
C000306,212300,208750,204600
C000307,226800,221350,214950
C000308,9550,8000,6100
C000309,9550,8000,6100
C000310,10600,9050,7150
C000311,9550,8000,6100
C000312,9550,8000,6100
C000313,10600,9050,7150
C000314,9550,8000,6100
C000315,9550,8000,6100
C000316,10600,9050,7150
C000317,9550,8000,6100
C000318,9550,8000,6100
C000319,10600,9050,7150
C000320,9550,8000,6100
C000321,9550,8000,6100
C000322,10600,9050,7150
C000323,9550,8000,6100
C000324,9550,8000,6100
C000325,10600,9050,7150
C000326,9550,8000,6100
C000327,9550,8000,6100
C000328,10600,9050,7150
C000329,9550,8000,6100
C000330,9550,8000,6100
C000331,10600,9050,7150
C000332,9550,8000,6100
C000333,9550,8000,6100
C000334,10600,9050,7150
C000335,9550,8000,6100
C000336,9550,8000,6100
C000337,10600,9050,7150
C000338,9550,8000,6100
C000339,9550,8000,6100
C000340,10600,9050,7150
C000341,9550,8000,6100
C000342,9550,8000,6100
C000343,10600,9050,7150
C000344,9550,8000,6100
C000345,9550,8000,6100
C000346,10600,9050,7150
C000347,9550,8000,6100
C000348,9550,8000,6100
C000349,10600,9050,7150
C000350,9550,8000,6100
C000351,9550,8000,6100
C000352,10600,9050,7150
C000353,9550,8000,6100
C000354,9550,8000,6100
C000355,10600,9050,7150
C000356,9550,8000,6100
C000357,9550,8000,6100
C000358,10600,9050,7150
C000359,9550,8000,6100
C000360,9550,8000,6100
C000361,10600,9050,7150
C000362,9550,8000,6100
C000363,9550,8000,6100
C000364,10600,9050,7150
C000365,9550,8000,6100
C000366,9550,8000,6100
C000367,10600,9050,7150
C000368,9550,8000,6100
C000369,9550,8000,6100
C000370,10600,9050,7150
C000371,9550,8000,6100
C000372,9550,8000,6100
C000373,10600,9050,7150
C000374,9550,8000,6100
C000375,9550,8000,6100
C000376,10600,9050,7150
C000377,9550,8000,6100
C000378,9550,8000,6100
C000379,10600,9050,7150
C000380,9550,8000,6100
C000381,9550,8000,6100
C000382,10600,9050,7150
C000383,9550,8000,6100
C000384,9550,8000,6100
C000385,10600,9050,7150
C000386,9550,8000,6100
C000387,9550,8000,6100
C000388,10600,9050,7150
C000389,30600,27050,22800
C000390,30600,27050,22800
C000391,46050,40450,33800
C000392,151000,147250,142850
C000393,151000,147250,142850
C000394,170350,163950,156400
C000395,103400,96200,87750
C000396,103400,96200,87750
C000397,141050,128600,113950
C000398,36400,33200,29300
C000399,36400,33200,29300
C000400,50450,45350,39350
C000401,193250,189300,184650
C000402,193250,189300,184650
C000403,213650,206900,198900
C000404,211150,207100,202250
C000405,211150,207100,202250
C000406,232200,225200,217000
C000407,97350,94550,91200
C000408,97350,94550,91200
C000409,109050,104750,99650
C000410,92750,90400,87650
C000411,92750,90400,87650
C000412,100200,96900,93000
C000413,79150,76650,73700
C000414,79150,76650,73700
C000415,86750,83250,79200
C000416,202350,198700,194400
C000417,202350,198700,194400
C000418,228650,221150,212400
C000419,67750,65850,63600
C000420,67750,65850,63600
C000421,76050,73000,69350
C000422,59900,57900,55600
C000423,59900,57900,55600
C000424,68600,65400,61650
C000425,77700,76100,74150
C000426,77700,76100,74150
C000427,84650,82050,79000
C000428,140850,139500,137900
C000429,140850,139500,137900
C000430,146350,144250,141750
C000431,94350,92250,89800
C000432,94350,92250,89800
C000433,104400,100900,96750
C000434,18850,15750,12100
C000435,18850,15750,12100
C000436,28750,24450,19400
C000437,38000,34650,30800
C000438,38000,34650,30800
C000439,49700,44900,39300
C000440,93050,86500,78850
C000441,93050,86500,78850
C000442,127300,116000,102750
C000443,28400,26450,24200
C000444,28400,26450,24200
C000445,38200,34850,30900
C000446,96400,93750,90600
C000447,96400,93750,90600
C000448,107250,103150,98400
C000449,92900,90800,88350
C000450,92900,90800,88350
C000451,102600,99150,95050
C000452,22800,21600,20150
C000453,22800,21600,20150
C000454,30800,28400,25550
C000455,54650,51800,48500
C000456,54650,51800,48500
C000457,66350,62000,56900
C000458,40600,38100,35100
C000459,40600,38100,35100
C000460,48200,44700,40600
C000461,41300,39700,37750
C000462,41300,39700,37750
C000463,49150,46400,43150
C000464,36300,34600,32550
C000465,36300,34600,32550
C000466,44850,41900,38500
C000467,20200,18800,17250
C000468,20200,18800,17250
C000469,26950,24600,21900
C000470,30900,29600,28000
C000471,30900,29600,28000
C000472,36450,34300,31850
C000473,45750,43650,41200
C000474,45750,43650,41200
C000475,55800,52300,48150
C000476,19450,17900,15950
C000477,19450,17900,15950
C000478,27650,24900,21600
C000479,26300,24000,21250
C000480,26300,24000,21250
C000481,36300,32700,28400
C000482,17200,15500,13500
C000483,17200,15500,13500
C000484,25700,22800,19400
C000485,26850,24600,21950
C000486,26850,24600,21950
C000487,37450,33800,29450
C000488,36250,33700,30750
C000489,36250,33700,30750
C000490,46900,42950,38400
C000491,20000,18400,16500
C000492,20000,18400,16500
C000493,28150,25400,22100
C000494,19450,17350,14900
C000495,19450,17350,14900
C000496,30250,26600,22300
C000497,20450,18050,15250
C000498,20450,18050,15250
C000499,30800,27050,22650
C000500,26500,22700,18250
C000501,26500,22700,18250
C000502,42800,36950,29950
C000503,14800,13200,11300
C000504,14800,13200,11300
C000505,22950,20200,16900
C000506,16350,14200,11600
C000507,16350,14200,11600
C000508,27600,23800,19300
C000509,14000,12400,10500
C000510,14000,12400,10500
C000511,22150,19400,16100
C000512,32000,28850,25150
C000513,32000,28850,25150
C000514,45400,40550,34750
C000515,17200,15200,12850
C000516,17200,15200,12850
C000517,27350,23950,19850
C000518,25900,24250,22350
C000519,25900,24250,22350
C000520,34100,31250,28000
C000521,21150,19900,18400
C000522,21150,19900,18400
C000523,27450,25300,22750
C000524,35050,32600,29750
C000525,35050,32600,29750
C000526,45300,41550,37100
C000527,19050,17900,16550
C000528,19050,17900,16550
C000529,24800,22850,20500
C000530,11650,10900,9950
C000531,11650,10900,9950
C000532,15750,14400,12750
C000533,47400,44150,40350
C000534,47400,44150,40350
C000535,61200,56100,50150
C000536,63050,60250,56900
C000537,63050,60250,56900
C000538,75150,70700,65550
C000539,56550,54050,51200
C000540,56550,54050,51200
C000541,66850,63050,58600
C000542,47600,45150,42300
C000543,47600,45150,42300
C000544,57950,54100,49650
C000545,61250,58050,54200
C000546,61250,58050,54200
C000547,75050,70000,64100
C000548,45800,43000,39700
C000549,45800,43000,39700
C000550,57850,53450,48350
C000551,71650,68100,63900
C000552,71650,68100,63900
C000553,86750,81250,74700
C000554,79450,75750,71400
C000555,79450,75750,71400
C000556,98550,92200,84750
C000557,80450,76750,72350
C000558,80450,76750,72350
C000559,95950,90250,83450
C000560,80650,77350,73500
C000561,80650,77350,73500
C000562,94400,89350,83350
C000563,47750,44150,39850
C000564,47750,44150,39850
C000565,63250,57600,50900
C000566,66350,62750,58450
C000567,66350,62750,58450
C000568,81850,76200,69550
C000569,41550,38300,34500
C000570,41550,38300,34500
C000571,55350,50300,44350
C000572,43800,40100,35900
C000573,43800,40100,35900
C000574,59250,53600,46950
C000575,56000,52800,48950
C000576,56000,52800,48950
C000577,69750,64700,58800
C000578,23050,21050,18800
C000579,23050,21050,18800
C000580,33600,30150,26050
C000581,56700,53500,49700
C000582,56700,53500,49700
C000583,70450,65400,59550
C000584,30300,27850,25050
C000585,30300,27850,25050
C000586,40650,36800,32400
C000587,67000,63400,59100
C000588,67000,63400,59100
C000589,82500,76800,70200
C000590,63300,60100,56300
C000591,63300,60100,56300
C000592,77050,72050,66100
C000593,40450,38450,36050
C000594,40450,38450,36050
C000595,50700,47200,43050
C000596,42500,40500,38050
C000597,42500,40500,38050
C000598,52700,49200,45100
C000599,123250,121000,118400
C000600,123250,121000,118400
C000601,133550,129850,125550
C000602,86650,84250,81500
C000603,86650,84250,81500
C000604,97650,93700,89100
C000605,19800,17800,15450
C000606,19800,17800,15450
C000607,30000,26550,22450
C000608,32600,28900,24500
C000609,32600,28900,24500
C000610,48850,43000,36100
C000611,33400,30250,26450
C000612,33400,30250,26450
C000613,47200,42200,36300
C000614,58600,54800,50350
C000615,58600,54800,50350
C000616,74100,68350,61500
C000617,41100,36850,31850
C000618,41100,36850,31850
C000619,62200,55050,46700
C000620,31150,28000,24350
C000621,31150,28000,24350
C000622,43550,38850,33250
C000623,13900,12800,11550
C000624,13900,12800,11550
C000625,19200,17350,15250
C000626,17450,16100,14500
C000627,17450,16100,14500
C000628,24300,21950,19250
C000629,28550,25250,21350
C000630,28550,25250,21350
C000631,42450,37400,31350
C000632,25450,22050,18050
C000633,25450,22050,18050
C000634,39500,34250,28150
C000635,31350,27200,22400
C000636,31350,27200,22400
C000637,51800,44900,36750
C000638,28000,26150,24000
C000639,28000,26150,24000
C000640,37350,34200,30400
C000641,40000,35900,31000
C000642,40000,35900,31000
C000643,60800,53800,45550
C000644,44950,41900,38350
C000645,44950,41900,38350
C000646,55600,51250,46200
C000647,45950,42300,38000
C000648,45950,42300,38000
C000649,60650,55100,48600
C000650,38650,34800,30250
C000651,38650,34800,30250
C000652,58900,52150,44350
C000653,29450,25700,21300
C000654,29450,25700,21300
C000655,48750,42350,34800
C000656,47250,43350,38750
C000657,47250,43350,38750
C000658,67450,60800,52900
C000659,50750,47200,43050
C000660,50750,47200,43050
C000661,65250,59800,53450
C000662,27800,25000,21650
C000663,27800,25000,21650
C000664,39550,35200,30100
C000665,57000,53250,48850
C000666,57000,53250,48850
C000667,75950,69600,62150
C000668,25700,23250,20400
C000669,25700,23250,20400
C000670,33600,30100,26000
C000671,22850,20950,18700
C000672,22850,20950,18700
C000673,31150,28100,24450
C000674,25700,23250,20400
C000675,25700,23250,20400
C000676,33600,30100,26000
C000677,23200,21250,18900
C000678,23200,21250,18900
C000679,31950,28700,24950
C000680,21350,19700,17800
C000681,21350,19700,17800
C000682,28250,25650,22600
C000683,20900,19350,17550
C000684,20900,19350,17550
C000685,26550,24250,21550
C000686,25700,23550,21100
C000687,25700,23550,21100
C000688,35750,32250,28050
C000689,9550,8000,6100
C000690,9550,8000,6100
C000691,10600,9050,7150
C000692,9550,8000,6100
C000693,9550,8000,6100
C000694,10600,9050,7150
C000695,9550,8000,6100
C000696,9550,8000,6100
C000697,10600,9050,7150
C000698,9550,8000,6100
C000699,9550,8000,6100
C000700,10600,9050,7150
C000701,9550,8000,6100
C000702,9550,8000,6100
C000703,10600,9050,7150
C000704,9550,8000,6100
C000705,9550,8000,6100
C000706,10600,9050,7150
C000707,9550,8000,6100
C000708,9550,8000,6100
C000709,10600,9050,7150
C000710,9550,8000,6100
C000711,9550,8000,6100
C000712,10600,9050,7150
C000713,9550,8000,6100
C000714,9550,8000,6100
C000715,10600,9050,7150
C000716,9550,8000,6100
C000717,9550,8000,6100
C000718,10600,9050,7150
C000719,9550,8000,6100
C000720,9550,8000,6100
C000721,10600,9050,7150
C000722,9550,8000,6100
C000723,9550,8000,6100
C000724,10600,9050,7150
C000725,9550,8000,6100
C000726,9550,8000,6100
C000727,10600,9050,7150
C000728,9550,8000,6100
C000729,9550,8000,6100
C000730,10600,9050,7150
C000731,9550,8000,6100
C000732,9550,8000,6100
C000733,10600,9050,7150
C000734,9550,8000,6100
C000735,9550,8000,6100
C000736,10600,9050,7150
C000737,9550,8000,6100
C000738,9550,8000,6100
C000739,10600,9050,7150
C000740,9550,8000,6100
C000741,9550,8000,6100
C000742,10600,9050,7150
C000743,9550,8000,6100
C000744,9550,8000,6100
C000745,10600,9050,7150
C000746,9550,8000,6100
C000747,9550,8000,6100
C000748,10600,9050,7150
C000749,9550,8000,6100
C000750,9550,8000,6100
C000751,10600,9050,7150
C000752,9550,8000,6100
C000753,9550,8000,6100
C000754,10600,9050,7150
C000755,9550,8000,6100
C000756,9550,8000,6100
C000757,10600,9050,7150
C000758,9550,8000,6100
C000759,9550,8000,6100
C000760,10600,9050,7150
C000761,9550,8000,6100
C000762,9550,8000,6100
C000763,10600,9050,7150
C000764,9550,8000,6100
C000765,9550,8000,6100
C000766,10600,9050,7150
C000767,9550,8000,6100
C000768,9550,8000,6100
C000769,10600,9050,7150
C000770,9550,8000,6100
C000771,9550,8000,6100
C000772,10600,9050,7150
C000773,81100,76800,71750
C000774,81100,76800,71750
C000775,106850,98950,89550
C000776,68500,60450,51000
C000777,68500,60450,51000
C000778,109800,96000,79850
C000779,22750,20500,17900
C000780,22750,20500,17900
C000781,33050,29350,25050
C000782,27150,24750,22000
C000783,27150,24750,22000
C000784,38100,34200,29550
C000785,29350,27250,24800
C000786,29350,27250,24800
C000787,39050,35600,31550
C000788,48150,41650,33950
C000789,48150,41650,33950
C000790,82400,71150,57900
C000791,19350,17450,15200
C000792,19350,17450,15200
C000793,29150,25850,21900
C000794,45600,42350,38500
C000795,45600,42350,38500
C000796,59350,54300,48350
C000797,132350,129800,126850
C000798,132350,129800,126850
C000799,142650,138800,134250
C000800,131500,129100,126300
C000801,135750,132550,128850
C000802,141100,137500,133250
C000803,24950,22400,19450
C000804,24950,22400,19450
C000805,35250,31400,26900
C000806,43450,40600,37200
C000807,43450,40600,37200
C000808,55500,51100,45850
C000809,49300,43950,37650
C000810,49300,43950,37650
C000811,77450,68200,57300
C000812,51750,47550,42650
C000813,51750,47550,42650
C000814,73450,66300,57850
C000815,71800,67500,62400
C000816,71800,67500,62400
C000817,94100,86750,78000
C000818,41950,39050,35750
C000819,41950,39050,35750
C000820,54000,49550,44350
C000821,44100,41400,38200
C000822,44100,41400,38200
C000823,55450,51250,46400
C000824,68900,63200,56550
C000825,68900,63200,56550
C000826,98600,88800,77250
C000827,58550,53050,46600
C000828,58550,53050,46600
C000829,87500,77950,66750
C000830,11600,10700,9650
C000831,11600,10700,9650
C000832,16100,14550,12750
C000833,11550,10750,9800
C000834,11550,10750,9800
C000835,15650,14200,12650
C000836,13050,11450,9600
C000837,13050,11450,9600
C000838,21200,18450,15200
C000839,17000,15000,12700
C000840,17000,15000,12700
C000841,27200,23750,19700
C000842,41300,37050,31950
C000843,41300,37050,31950
C000844,64200,56650,47850
C000845,22850,20350,17450
C000846,22850,20350,17450
C000847,33500,29650,25100
C000848,27150,24650,21750
C000849,27150,24650,21750
C000850,37850,33900,29350
C000851,19700,18100,16200
C000852,19700,18100,16200
C000853,27850,25100,21800
C000854,95550,91800,87350
C000855,95550,91800,87350
C000856,114700,108300,100750
C000857,34850,32300,29400
C000858,34850,32300,29400
C000859,45500,41550,37000
C000860,124650,123550,122250
C000861,124650,123550,122250
C000862,129700,127900,125700
C000863,36650,33000,28650
C000864,36650,33000,28650
C000865,52500,46700,40000
C000866,46600,43350,39500
C000867,46600,43350,39500
C000868,60350,55300,49350
C000869,30700,27550,23750
C000870,30700,27550,23750
C000871,44500,39500,33600
C000872,41750,39250,36200
C000873,41750,39250,36200
C000874,52400,48500,43850
C000875,20100,18400,16450
C000876,20100,18400,16450
C000877,28650,25750,22300
C000878,10300,9500,8550
C000879,10300,9500,8550
C000880,14400,12950,11350
C000881,24450,21900,18900
C000882,24450,21900,18900
C000883,34750,30850,26350
C000884,23600,21200,18400
C000885,23600,21200,18400
C000886,33200,29600,25350
C000887,11250,9650,7800
C000888,11250,9650,7800
C000889,19400,16650,13400
C000890,56600,52850,48400
C000891,56600,52850,48400
C000892,75750,69350,61800
C000893,24300,21750,18850
C000894,24300,21750,18850
C000895,34950,31000,26450
C000896,28050,25250,21950
C000897,28050,25250,21950
C000898,40100,35700,30550
C000899,12450,10900,9000
C000900,12450,10900,9000
C000901,13500,12000,10050
C000902,24300,21850,19050
C000903,24300,21850,19050
C000904,34600,30850,26400
C000905,25200,21600,17400
C000906,25200,21600,17400
C000907,40650,35050,28400
