sku,22k,18k,14k,9k,siij_price_22,sigh_price_22,vsgh_price_22,vvsgh_price_22,vvsef_price_22,siij_price_18,sigh_price_18,vsgh_price_18,vvsgh_price_18,vvsef_price_18,siij_price_14,sigh_price_14,vsgh_price_14,vvsgh_price_14,vvsef_price_14,siij_price_9,sigh_price_9,vsgh_price_9,vvsgh_price_9,vvsef_price_9
C005735,0,24121,18679,15176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C005736,0,24121,18679,15176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C005759,0,30186,25687,21566,0,0,0,0,0,27688,30186,31969,34823,36607,23190,25687,27471,30325,32108,19069,21566,23350,26204,27987
C005760,0,30186,25687,21566,0,0,0,0,0,27688,30186,31969,34823,36607,23190,25687,27471,30325,32108,19069,21566,23350,26204,27987
C005822,0,58401,51572,46050,0,0,0,0,0,51980,58401,62987,70325,74912,45151,51572,56158,63497,68083,39629,46050,50636,57974,62561
C005823,0,58401,51572,46050,0,0,0,0,0,51980,58401,62987,70325,74912,45151,51572,56158,63497,68083,39629,46050,50636,57974,62561
C005855,0,36895,29810,24188,0,0,0,0,0,34398,36895,38679,41533,43316,27313,29810,31594,34448,36231,21690,24188,25971,28825,30609
C005856,0,36895,29810,24188,0,0,0,0,0,34398,36895,38679,41533,43316,27313,29810,31594,34448,36231,21690,24188,25971,28825,30609
C005961,0,35825,29180,25178,0,0,0,0,0,33804,35825,37269,39579,41023,27158,29180,30624,32934,34378,23156,25178,26622,28932,30376
C005962,0,35825,29180,25178,0,0,0,0,0,33804,35825,37269,39579,41023,27158,29180,30624,32934,34378,23156,25178,26622,28932,30376
C005985,0,35723,29324,24002,0,0,0,0,0,34059,35723,36912,38815,40004,27660,29324,30513,32416,33605,22338,24002,25191,27094,28283
C005986,0,35723,29324,24002,0,0,0,0,0,34059,35723,36912,38815,40004,27660,29324,30513,32416,33605,22338,24002,25191,27094,28283
C006033,0,63021,56806,53004,0,0,0,0,0,57925,63021,70155,83405,88501,51710,56806,63940,77190,82286,47908,53004,60138,73388,78484
C006034,0,63021,56806,53004,0,0,0,0,0,57925,63021,70155,83405,88501,51710,56806,63940,77190,82286,47908,53004,60138,73388,78484
C006057,0,43214,34938,26014,0,0,0,0,0,42977,43214,43384,43656,43826,34701,34938,35108,35380,35550,25776,26014,26183,26455,26625
C006058,0,43214,34938,26014,0,0,0,0,0,42977,43214,43384,43656,43826,34701,34938,35108,35380,35550,25776,26014,26183,26455,26625
C006391,0,23017,17135,12011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006392,0,23017,17135,12011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006465,0,53661,43478,33051,0,0,0,0,0,52234,53661,54681,56311,57330,42051,43478,44497,46128,47147,31624,33051,34070,35701,36720
C006466,0,53661,43478,33051,0,0,0,0,0,52234,53661,54681,56311,57330,42051,43478,44497,46128,47147,31624,33051,34070,35701,36720
C006489,0,39138,31650,23625,0,0,0,0,0,38900,39138,39307,39579,39749,31412,31650,31820,32091,32261,23387,23625,23795,24067,24237
C006490,0,39138,31650,23625,0,0,0,0,0,38900,39138,39307,39579,39749,31412,31650,31820,32091,32261,23387,23625,23795,24067,24237
C006513,0,42535,34420,29416,0,0,0,0,0,39324,42535,44828,48497,50791,31210,34420,36714,40383,42676,26206,29416,31709,35378,37672
C006514,0,42535,34420,29416,0,0,0,0,0,39324,42535,44828,48497,50791,31210,34420,36714,40383,42676,26206,29416,31709,35378,37672
C006537,0,81214,70499,59272,0,0,0,0,0,74912,81214,85715,92918,97419,64197,70499,75000,82203,86704,52970,59272,63774,70976,75477
C006538,0,81214,70499,59272,0,0,0,0,0,74912,81214,85715,92918,97419,64197,70499,75000,82203,86704,52970,59272,63774,70976,75477
C006561,0,68746,57082,45356,0,0,0,0,0,65654,68746,70954,74487,76695,53991,57082,59291,62824,65032,42265,45356,47565,51098,53306
C006562,0,68746,57082,45356,0,0,0,0,0,65654,68746,70954,74487,76695,53991,57082,59291,62824,65032,42265,45356,47565,51098,53306
C006587,0,84526,76250,67325,0,0,0,0,0,75252,84526,91151,101751,108376,66976,76250,82875,93475,100100,58051,67325,73950,84550,91175
C006588,0,84526,76250,67325,0,0,0,0,0,75252,84526,91151,101751,108376,66976,76250,82875,93475,100100,58051,67325,73950,84550,91175
C006611,0,52387,45774,39771,0,0,0,0,0,47988,52387,55530,60558,63701,41375,45774,48917,53945,57088,35372,39771,42914,47942,51084
C006612,0,52387,45774,39771,0,0,0,0,0,47988,52387,55530,60558,63701,41375,45774,48917,53945,57088,35372,39771,42914,47942,51084
C006635,0,28113,21714,16392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C006636,0,28113,21714,16392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C007171,0,11840,9297,7845,0,0,0,0,0,11721,11840,11925,12061,12146,9178,9297,9382,9518,9603,7726,7845,7929,8065,8150
C007172,0,11840,9297,7845,0,0,0,0,0,11721,11840,11925,12061,12146,9178,9297,9382,9518,9603,7726,7845,7929,8065,8150
C007173,0,105658,96364,86899,0,0,0,0,0,105658,105658,105658,105658,105658,96364,96364,96364,96364,96364,86899,86899,86899,86899,86899
C007174,0,105658,96364,86899,0,0,0,0,0,105658,105658,105658,105658,105658,96364,96364,96364,96364,96364,86899,86899,86899,86899,86899
C007177,0,20792,15864,12562,0,0,0,0,0,20554,20792,20962,21234,21403,15626,15864,16034,16306,16475,12324,12562,12732,13003,13173
C007178,0,20792,15864,12562,0,0,0,0,0,20554,20792,20962,21234,21403,15626,15864,16034,16306,16475,12324,12562,12732,13003,13173
C007179,0,21794,17039,12817,0,0,0,0,0,21616,21794,21921,22125,22253,16861,17039,17167,17371,17498,12638,12817,12944,13148,13275
C007180,0,21794,17039,12817,0,0,0,0,0,21616,21794,21921,22125,22253,16861,17039,17167,17371,17498,12638,12817,12944,13148,13275
C007263,0,42297,36596,32995,0,0,0,0,0,37541,42297,45694,51130,54528,31840,36596,39994,45430,48827,28239,32995,36393,41828,45226
