C000125,1,13900,12500,10900
C000126,1,13900,12500,10900
C000127,0,20950,18550,15750
C000128,75,27350,25400,23150
C000129,75,27350,25400,23150
C000130,0,37500,34200,30300
C000131,0,43100,40850,38200
C000132,0,43100,40850,38200
C000133,0,55850,51850,47150
C000134,2,17400,16000,14350
C000135,2,17400,16000,14350
C000136,0,24600,22150,19300
C000137,3,22250,20550,18550
C000138,3,22250,20550,18550
C000139,0,30950,28000,24550
C000140,0,86100,83050,79500
C000141,0,86100,83050,79500
C000142,0,99050,94350,88850
C000143,6,24150,22200,19950
C000144,0,24150,22200,19950
C000145,0,33800,30500,26650
C000146,5,48950,45650,41700
C000147,5,48950,45650,41700
C000148,0,64000,58700,52450
C000149,8,17000,14900,12400
C000150,8,17000,14900,12400
C000151,0,26250,22900,19000
C000152,10,47150,44450,40500
C000153,10,46150,43450,40300
C000154,0,57650,53450,48550
C000155,0,111400,108900,106000
C000156,0,111400,108900,106000
C000157,0,121950,118100,113600
C000158,11,30250,27750,24850
C000159,0,30250,27750,24850
C000160,0,41000,37150,32600
C000161,12,24000,21600,18750
C000162,0,24000,21600,18750
C000163,0,34350,30600,26200
C000164,13,29400,26900,23900
C000165,13,29400,26900,23900
C000166,0,40250,36300,31700
C000167,16,49700,46350,42400
C000168,0,49700,46350,42400
C000169,0,64000,58800,52700
C000170,17,24900,22550,19800
C000171,17,24900,22550,19800
C000172,0,35100,31450,27150
C000173,14,28600,25950,22850
C000174,14,28600,25950,22850
C000175,0,40000,35900,31050
C000176,15,49850,46400,42400
C000177,0,49850,46400,42400
C000178,0,67800,61950,55000
C000179,18,35250,32500,29250
C000180,18,35250,32500,29250
C000181,0,47000,42750,37700
C000182,19,29800,27650,25100
C000183,19,29800,27650,25100
C000184,0,39050,35700,31750
C000185,20,29400,26600,23300
C000186,20,29400,26600,23300
C000187,0,41450,37100,31950
C000188,21,20900,18850,16450
C000189,21,20900,18850,16450
C000190,0,31450,27900,23750
C000191,22,24800,22650,20150
C000192,22,24800,22650,20150
C000193,0,34000,30700,26750
C000194,23,31750,27800,23150
C000195,23,31750,27800,23150
C000196,0,52900,46050,38000
C000197,24,30450,28250,25650
C000198,24,30450,28250,25650
C000199,0,40300,36850,32750
C000200,25,38750,34450,29450
C000201,0,38750,34450,29450
C000202,0,61600,54150,45400
C000203,26,110550,103850,95950
C000204,0,110550,103850,95950
C000205,0,145850,134300,120700
C000206,27,30450,27950,25000
C000207,27,30450,27950,25000
C000208,0,41300,37400,32800
C000209,28,28750,26550,23900
C000210,28,28750,26550,23900
C000211,0,38300,34850,30800
C000212,29,20500,18050,15100
C000213,29,20500,18050,15100
C000214,0,31350,27500,22900
C000215,30,26250,24050,21450
C000216,0,26250,24050,21450
C000217,0,35800,32350,28300
C000218,31,47550,44000,39800
C000219,31,47550,44000,39800
C000220,0,62850,57300,50800
C000221,136,15050,13600,11850
C000222,136,15050,13600,11850
C000223,0,22600,20050,17050
C000224,32,41150,36850,31800
C000225,0,41150,36850,31800
C000226,0,64050,56600,47850
C000227,33,55850,51550,46450
C000228,33,55850,51550,46450
C000229,0,78800,71350,62550
C000230,34,76500,68650,59400
C000231,0,76500,68650,59400
C000232,0,118400,104800,88800
C000233,35,37750,33450,28450
C000234,35,37750,33450,28450
C000235,0,60550,53150,44400
C000236,36,40300,37400,34000
C000237,36,40300,37400,34000
C000238,0,52750,48250,42950
C000239,74,35350,31750,27550
C000240,0,35100,31550,27400
C000241,0,54300,48150,40850
C000242,0,25450,23250,20650
C000243,0,25450,23250,20650
C000244,0,35000,31550,27550
C000245,37,23850,22400,20600
C000246,37,23850,22400,20600
C000247,0,31400,28850,25850
C000248,38,57500,54150,50250
C000249,38,57500,54150,50250
C000250,0,75200,69400,62650
C000251,39,72250,68950,65050
C000252,0,72250,68950,65050
C000253,0,89550,83850,77200
C000254,0,90650,87100,82900
C000255,0,90650,87100,82900
C000256,0,109350,103200,96000
C000257,0,92600,89050,84850
C000258,0,92600,89050,84850
C000259,0,111300,105150,97950
C000260,42,55800,49000,41000
C000261,42,55800,49000,41000
C000262,0,92150,80350,66500
C000263,43,31300,28000,24150
C000264,43,31300,28000,24150
C000265,0,48900,43150,36450
C000266,44,27250,24750,21800
C000267,44,27250,24750,21800
C000268,0,38050,34150,29550
C000269,45,29900,27100,23800
C000270,45,29900,27100,23800
C000271,0,41950,37600,32450
C000272,46,24150,21400,18150
C000273,0,24150,21400,18150
C000274,0,36300,31950,26850
C000275,0,36300,33000,29100
C000276,0,36300,33000,29100
C000277,0,53900,48200,41450
C000278,0,135700,132600,128950
C000279,0,135700,132600,128950
C000280,0,148700,143950,138350
C000281,0,126850,123400,119250
C000282,0,126850,123400,119250
C000283,0,145050,139050,132050
C000284,0,133900,131150,127900
C000285,0,133900,131150,127900
C000286,0,145500,141250,136250
C000287,0,112000,109400,106350
C000288,0,112000,109400,106350
C000289,0,121850,118050,113550
C000290,0,211850,208400,204400
C000291,0,211850,208400,204400
C000292,0,229350,223500,216650
C000293,0,146150,142450,138100
C000294,0,146150,142450,138100
C000295,0,165350,159050,151600
C000296,0,218450,215000,210950
C000297,0,218450,215000,210950
C000298,0,232600,227350,221150
C000299,0,133750,131000,127800
C000300,0,133750,131000,127800
C000301,0,145200,141000,136050
C000302,0,154400,151150,147350
C000303,0,154400,151150,147350
C000304,0,168000,163000,157150
C000305,0,199800,196550,192750
C000306,0,199800,196550,192750
C000307,0,213200,208250,202400
C000308,55,8800,6950,5650
C000309,55,8800,6950,5650
C000310,0,9800,6950,6650
C000311,56,8800,6950,5650
C000312,56,8800,6950,5650
C000313,0,9800,6950,6650
C000314,57,8800,6950,5650
C000315,57,8800,6950,5650
C000316,0,9800,6950,6650
C000317,58,8800,6950,5650
C000318,58,8800,6950,5650
C000319,0,9800,6950,6650
C000320,59,8800,6950,5650
C000321,59,8800,6950,5650
C000322,0,9800,6950,6650
C000323,60,8800,6950,5650
C000324,60,8800,6950,5650
C000325,0,9800,6950,6650
C000326,61,8800,6950,5650
C000327,61,8800,6950,5650
C000328,0,9800,6950,6650
C000329,62,8800,6950,5650
C000330,62,8800,6950,5650
C000331,0,9800,6950,6650
C000332,63,8800,6950,5650
C000333,63,8800,6950,5650
C000334,0,9800,6950,6650
C000335,64,8800,6950,5650
C000336,64,8800,6950,5650
C000337,0,9800,6950,6650
C000338,65,8800,6950,5650
C000339,65,8800,6950,5650
C000340,0,9800,6950,6650
C000341,66,8800,6950,5650
C000342,66,8800,6950,5650
C000343,0,9800,6950,6650
C000344,67,8800,6950,5650
C000345,67,8800,6950,5650
C000346,0,9800,6950,6650
C000347,68,8800,6950,5650
C000348,68,8800,6950,5650
C000349,0,9800,6950,6650
C000350,69,8800,6950,5650
C000351,69,8800,6950,5650
C000352,0,9800,6950,6650
C000353,70,8800,6950,5650
C000354,70,8800,6950,5650
C000355,0,9800,6950,6650
C000356,73,8800,6950,5650
C000357,73,8800,6950,5650
C000358,0,9800,6950,6650
C000359,71,8800,6950,5650
C000360,71,8800,6950,5650
C000361,0,9800,6950,6650
C000362,72,8800,6950,5650
C000363,72,8800,6950,5650
C000364,0,9800,6950,6650
C000365,76,8800,6950,5650
C000366,76,8800,6950,5650
C000367,0,9800,6950,6650
C000368,77,8800,6950,5650
C000369,77,8800,6950,5650
C000370,0,9800,6950,6650
C000371,78,8800,6950,5650
C000372,78,8800,6950,5650
C000373,0,9800,6950,6650
C000374,79,8800,6950,5650
C000375,79,8800,6950,5650
C000376,0,9800,6950,6650
C000377,80,8800,6950,5650
C000378,80,8800,6950,5650
C000379,0,9800,6950,6650
C000380,81,8800,6950,5650
C000381,81,8800,6950,5650
C000382,0,9800,6950,6650
C000383,82,8800,6950,5650
C000384,82,8800,6950,5650
C000385,0,9800,6950,6650
C000386,83,8800,6950,5650
C000387,83,8800,6950,5650
C000388,0,9800,6950,6650
C000389,84,28400,25100,21250
C000390,84,28400,25100,21250
C000391,0,42650,37550,31500
C000392,112,142000,138550,134500
C000393,112,142000,138550,134500
C000394,0,159850,153950,147050
C000395,113,96600,90000,82200
C000396,113,96600,90000,82200
C000397,0,131350,120000,106600
C000398,114,33900,30950,27450
C000399,114,33900,30950,27450
C000400,0,46900,42250,36750
C000401,0,181750,178150,173900
C000402,0,181750,178150,173900
C000403,0,200650,194450,187150
C000404,115,198650,194900,190500
C000405,115,198650,194900,190500
C000406,85,218100,211700,204200
C000407,85,91500,88900,85850
C000408,0,91500,88900,85850
C000409,0,102350,98350,93650
C000410,0,87200,85050,82500
C000411,0,87200,85050,82500
C000412,86,94100,91050,87500
C000413,86,74350,72050,69400
C000414,0,74350,72050,69400
C000415,0,81400,78200,74450
C000416,0,190400,187050,183150
C000417,0,190400,187050,183150
C000418,87,214700,207900,199850
C000419,87,63600,61900,59850
C000420,0,63600,61900,59850
C000421,0,71350,68550,65250
C000422,88,56250,54450,52300
C000423,0,56250,54450,52300
C000424,0,64300,61400,57950
C000425,89,73150,71650,69900
C000426,0,73150,71650,69900
C000427,0,79500,77100,74350
