sku,22k,18k,14k,9k,siij_price_22,sigh_price_22,vsgh_price_22,vvsgh_price_22,vvsef_price_22,siij_price_18,sigh_price_18,vsgh_price_18,vvsgh_price_18,vvsef_price_18,siij_price_14,sigh_price_14,vsgh_price_14,vvsgh_price_14,vvsef_price_14,siij_price_9,sigh_price_9,vsgh_price_9,vvsgh_price_9,vvsef_price_9
T00001,0,288088,265103,243931,0,0,0,0,0,244248,288088,319401,369504,400818,221264,265103,296417,346519,377833,200092,243931,275245,325347,356661
T00002,0,288088,265103,243931,0,0,0,0,0,244248,288088,319401,369504,400818,221264,265103,296417,346519,377833,200092,243931,275245,325347,356661
T00004,0,507474,478041,453404,0,0,0,0,0,457182,507474,577883,708642,758934,427749,478041,548450,679209,729501,403112,453404,523813,654572,704864
T00005,0,507474,478041,453404,0,0,0,0,0,457182,507474,577883,708642,758934,427749,478041,548450,679209,729501,403112,453404,523813,654572,704864
T00007,0,496657,464783,437574,0,0,0,0,0,449117,496657,563213,686818,734358,417243,464783,531339,654944,702484,390034,437574,504131,627735,675275
T00008,0,496657,464783,437574,0,0,0,0,0,449117,496657,563213,686818,734358,417243,464783,531339,654944,702484,390034,437574,504131,627735,675275
T00010,0,285127,261370,239752,0,0,0,0,0,242350,285127,315682,364569,395124,218594,261370,291925,340813,371367,196976,239752,270307,319195,349749
T00011,0,285127,261370,239752,0,0,0,0,0,242350,285127,315682,364569,395124,218594,261370,291925,340813,371367,196976,239752,270307,319195,349749
T00013,0,318946,292198,268679,0,0,0,0,0,270723,318946,353391,408504,442949,243975,292198,326644,381756,416201,220455,268679,303124,358236,392682
T00014,0,318946,292198,268679,0,0,0,0,0,270723,318946,353391,408504,442949,243975,292198,326644,381756,416201,220455,268679,303124,358236,392682
T00016,0,405942,378133,353942,0,0,0,0,0,362577,405942,466653,536036,579401,334768,378133,438844,508228,551593,310577,353942,414653,484036,527401
T00017,0,405942,378133,353942,0,0,0,0,0,362577,405942,466653,536036,579401,334768,378133,438844,508228,551593,310577,353942,414653,484036,527401
T00019,0,531007,501096,476347,0,0,0,0,0,477869,531007,605401,743562,796701,447957,501096,575490,713651,766789,423208,476347,550741,688901,742040
T00020,0,531007,501096,476347,0,0,0,0,0,477869,531007,605401,743562,796701,447957,501096,575490,713651,766789,423208,476347,550741,688901,742040
T00022,0,246051,220537,197017,0,0,0,0,0,213504,246051,269299,306496,329745,187989,220537,243785,280982,304230,164470,197017,220266,257463,280711
T00023,0,246051,220537,197017,0,0,0,0,0,213504,246051,269299,306496,329745,187989,220537,243785,280982,304230,164470,197017,220266,257463,280711
T00025,0,431182,399377,371162,0,0,0,0,0,392277,431182,485650,586803,625708,360472,399377,453844,554998,593903,332257,371162,425629,526783,565688
T00026,0,431182,399377,371162,0,0,0,0,0,392277,431182,485650,586803,625708,360472,399377,453844,554998,593903,332257,371162,425629,526783,565688
T00028,0,190047,169047,148669,0,0,0,0,0,166533,190047,206842,233715,250511,145534,169047,185843,212716,229512,125155,148669,165464,192337,209133
T00029,0,190047,169047,148669,0,0,0,0,0,166533,190047,206842,233715,250511,145534,169047,185843,212716,229512,125155,148669,165464,192337,209133
T00031,0,248556,224917,203064,0,0,0,0,0,213883,248556,273323,312949,337715,190244,224917,249684,289310,314076,168391,203064,227830,267456,292223
T00032,0,248556,224917,203064,0,0,0,0,0,213883,248556,273323,312949,337715,190244,224917,249684,289310,314076,168391,203064,227830,267456,292223
T00034,0,317314,292887,271045,0,0,0,0,0,284956,317314,362615,414387,446745,260529,292887,338188,389960,422318,238688,271045,316346,368118,400476
T00035,0,317314,292887,271045,0,0,0,0,0,284956,317314,362615,414387,446745,260529,292887,338188,389960,422318,238688,271045,316346,368118,400476
T00037,0,567654,512458,462066,0,0,0,0,0,489540,567654,623450,712723,768518,434344,512458,568254,657527,713322,383952,462066,517861,607134,662930
T00038,0,567654,512458,462066,0,0,0,0,0,489540,567654,623450,712723,768518,434344,512458,568254,657527,713322,383952,462066,517861,607134,662930
T00039,0,117474,97946,79478,0,0,0,0,0,108839,117474,123642,133511,139679,89311,97946,104114,113982,120150,70843,79478,85646,95515,101683
T00040,0,117474,97946,79478,0,0,0,0,0,108839,117474,123642,133511,139679,89311,97946,104114,113982,120150,70843,79478,85646,95515,101683
T00041,0,189307,161403,132498,0,0,0,0,0,178679,189307,204185,221190,231818,150775,161403,176282,193286,203914,121870,132498,147376,164381,175008
T00042,0,189307,161403,132498,0,0,0,0,0,178679,189307,204185,221190,231818,150775,161403,176282,193286,203914,121870,132498,147376,164381,175008
T00043,0,121175,98519,75447,0,0,0,0,0,117190,121175,126755,133131,137117,94534,98519,104099,110475,114461,71462,75447,81027,87404,91389
T00044,0,121175,98519,75447,0,0,0,0,0,117190,121175,126755,133131,137117,94534,98519,104099,110475,114461,71462,75447,81027,87404,91389
T00045,0,62343,49155,35440,0,0,0,0,0,61015,62343,63292,64810,65759,47827,49155,50104,51622,52571,34111,35440,36389,37907,38856
T00046,0,62343,49155,35440,0,0,0,0,0,61015,62343,63292,64810,65759,47827,49155,50104,51622,52571,34111,35440,36389,37907,38856
T00047,0,17080,12884,10256,0,0,0,0,0,16511,17080,17877,18788,19358,12315,12884,13681,14592,15162,9686,10256,11053,11964,12533
T00048,0,17080,12884,10256,0,0,0,0,0,16511,17080,17877,18788,19358,12315,12884,13681,14592,15162,9686,10256,11053,11964,12533
