sku,22k,18k,14k,9k,siij_price_22,sigh_price_22,vsgh_price_22,vvsgh_price_22,vvsef_price_22,siij_price_18,sigh_price_18,vsgh_price_18,vvsgh_price_18,vvsef_price_18,siij_price_14,sigh_price_14,vsgh_price_14,vvsgh_price_14,vvsef_price_14,siij_price_9,sigh_price_9,vsgh_price_9,vvsgh_price_9,vvsef_price_9
C000125,0,19073,15911,12526,0,0,0,0,0,17934,19073,20667,22489,23628,14773,15911,17505,19327,20466,11387,12526,14120,15942,17080
C000126,0,19073,15911,12526,0,0,0,0,0,17934,19073,20667,22489,23628,14773,15911,17505,19327,20466,11387,12526,14120,15942,17080
C000128,0,36020,30758,27651,0,0,0,0,0,31504,36020,39247,44409,47635,26241,30758,33984,39146,42372,23134,27651,30877,36039,39266
C000129,0,36020,30758,27651,0,0,0,0,0,31504,36020,39247,44409,47635,26241,30758,33984,39146,42372,23134,27651,30877,36039,39266
C000131,0,93657,88366,83642,0,0,0,0,0,84168,93657,103146,122124,131613,78877,88366,97855,116833,126322,74153,83642,93131,112109,121598
C000132,0,93657,88366,83642,0,0,0,0,0,84168,93657,103146,122124,131613,78877,88366,97855,116833,126322,74153,83642,93131,112109,121598
C000134,0,24216,19988,17297,0,0,0,0,0,21825,24216,25924,28657,30365,17596,19988,21696,24429,26137,14905,17297,19005,21738,23446
C000135,0,24216,19988,17297,0,0,0,0,0,21825,24216,25924,28657,30365,17596,19988,21696,24429,26137,14905,17297,19005,21738,23446
C000137,0,28145,23781,21032,0,0,0,0,0,24956,28145,30422,34066,36343,20593,23781,26059,29703,31980,17843,21032,23309,26953,29230
C000138,0,28145,23781,21032,0,0,0,0,0,24956,28145,30422,34066,36343,20593,23781,26059,29703,31980,17843,21032,23309,26953,29230
C000140,0,133226,125971,119955,0,0,0,0,0,123737,133226,152204,190161,213883,116482,125971,144949,182905,206628,110466,119955,138933,176889,200612
C000141,0,133226,125971,119955,0,0,0,0,0,123737,133226,152204,190161,213883,116482,125971,144949,182905,206628,110466,119955,138933,176889,200612
C000143,0,31769,26507,23400,0,0,0,0,0,28182,31769,34331,38431,40993,22920,26507,29069,33168,35730,19813,23400,25962,30061,32623
C000144,0,31769,26507,23400,0,0,0,0,0,28182,31769,34331,38431,40993,22920,26507,29069,33168,35730,19813,23400,25962,30061,32623
C000146,0,64620,56069,49550,0,0,0,0,0,59876,64620,71263,83599,88343,51324,56069,62711,75047,79792,44805,49550,56192,68528,73273
C000147,0,64620,56069,49550,0,0,0,0,0,59876,64620,71263,83599,88343,51324,56069,62711,75047,79792,44805,49550,56192,68528,73273
C000149,0,23855,17695,14228,0,0,0,0,0,22394,23855,24899,26569,27613,16234,17695,18739,20409,21453,12767,14228,15272,16942,17986
C000150,0,23855,17695,14228,0,0,0,0,0,22394,23855,24899,26569,27613,16234,17695,18739,20409,21453,12767,14228,15272,16942,17986
C000152,0,62552,55558,51254,0,0,0,0,0,53518,62552,69004,79328,85781,46525,55558,62011,72335,78788,42221,51254,57707,68031,74483
C000153,0,62552,55558,51254,0,0,0,0,0,53518,62552,69004,79328,85781,46525,55558,62011,72335,78788,42221,51254,57707,68031,74483
C000155,0,212175,205986,202041,0,0,0,0,0,192248,212175,252029,305168,351664,186059,205986,245840,298979,345475,182114,202041,241895,295034,341530
C000156,0,212175,205986,202041,0,0,0,0,0,192248,212175,252029,305168,351664,186059,205986,245840,298979,345475,182114,202041,241895,295034,341530
C000158,0,39968,33610,29581,0,0,0,0,0,35584,39968,43099,48109,51241,29226,33610,36742,41752,44883,25197,29581,32713,37723,40854
C000159,0,39968,33610,29581,0,0,0,0,0,35584,39968,43099,48109,51241,29226,33610,36742,41752,44883,25197,29581,32713,37723,40854
