sku,18k,14k,9k
C000125,17100,15350,13350
C000126,17100,15350,13350
C000127,25800,22800,19300
C000128,33400,31050,28200
C000129,33400,31050,28200
C000130,46850,42550,37500
C000131,85550,82700,79400
C000132,85550,82700,79400
C000133,102250,97050,90900
C000134,21350,19600,17550
C000135,21350,19600,17550
C000136,30200,27200,23600
C000137,27300,25150,22700
C000138,27300,25150,22700
C000139,38000,34350,30050
C000140,121400,117550,113150
C000141,121400,117550,113150
C000142,138550,132400,125200
C000143,30700,28300,25450
C000144,30700,28300,25450
C000145,42700,38600,33750
C000146,59900,55750,50900
C000147,59900,55750,50900
C000148,79800,72850,64750
C000149,20950,18300,15200
C000150,20950,18300,15200
C000151,33200,28900,23850
C000152,59100,55750,51750
C000153,59100,55750,51750
C000154,74250,68800,62450
C000155,195100,191950,188300
C000156,195100,191950,188300
C000157,208950,204000,198100
C000158,36600,33500,29900
C000159,36600,33500,29900
C000160,50800,45750,39850
C000161,33200,30150,26650
C000162,33200,30150,26650
C000163,46900,42000,36300
C000164,36050,32900,29200
C000165,36050,32900,29200
C000166,50400,45300,39300
C000167,63500,59250,54350
C000168,63500,59250,54350
C000169,82450,75700,67750
C000170,30600,27700,24250
C000171,30600,27700,24250
C000172,44100,39350,33700
C000173,35100,31800,27900
C000174,35100,31800,27900
C000175,50250,44850,38550
C000176,64250,59800,54600
C000177,64250,59800,54600
C000178,87050,79400,70400
C000179,43200,39750,35750
C000180,43200,39750,35750
C000181,58700,53200,46650
C000182,36450,33800,30600
C000183,36450,33800,30600
C000184,48700,44350,39250
C000185,36100,32550,28500
C000186,36100,32550,28500
C000187,52050,46350,39700
C000188,25700,23150,20150
C000189,25700,23150,20150
C000190,38800,34300,29100
C000191,30400,27700,24550
C000192,30400,27700,24550
C000193,42650,38300,33200
C000194,40200,35050,29000
C000195,40200,35050,29000
C000196,66950,58050,47600
C000197,37300,34550,31350
C000198,37300,34550,31350
C000199,50300,45750,40450
C000200,49950,44400,37850
C000201,49950,44400,37850
C000202,78950,69300,57950
C000203,171350,162650,152350
C000204,171350,162650,152350
C000205,216200,201100,183450
C000206,37300,34200,30500
C000207,37300,34200,30500
C000208,51650,46550,40550
C000209,46850,44100,40800
C000210,46850,44100,40800
C000211,59450,55000,49700
C000212,25350,22250,18550
C000213,25350,22250,18550
C000214,39650,34600,28650
C000215,33400,30600,27350
C000216,33400,30600,27350
C000217,46000,41550,36250
C000218,58300,53800,48600
C000219,58300,53800,48600
C000220,78450,71250,62850
C000221,18500,16700,14550
C000222,18500,16700,14550
C000223,27800,24650,20900
