sku,22k,18k,14k,9k,siij_price_22,sigh_price_22,vsgh_price_22,vvsgh_price_22,vvsef_price_22,siij_price_18,sigh_price_18,vsgh_price_18,vvsgh_price_18,vvsef_price_18,siij_price_14,sigh_price_14,vsgh_price_14,vvsgh_price_14,vvsef_price_14,siij_price_9,sigh_price_9,vsgh_price_9,vvsgh_price_9,vvsef_price_9
C000125,0,19453,14966,12643,0,0,0,0,0,18314,19453,21047,22869,24007,14966,16105,17699,19521,20660,11505,12643,14237,16059,17198
C000126,0,19453,14966,12643,0,0,0,0,0,18314,19453,21047,22869,24007,14966,16105,17699,19521,20660,11505,12643,14237,16059,17198
C000128,0,36590,26509,27812,0,0,0,0,0,32073,36590,39816,44978,48204,26509,31025,34252,39414,42640,23296,27812,31039,36201,39427
C000129,0,36590,26509,27812,0,0,0,0,0,32073,36590,39816,44978,48204,26509,31025,34252,39414,42640,23296,27812,31039,36201,39427
C000131,0,94226,79186,83828,0,0,0,0,0,84737,94226,103715,122693,132182,79186,88675,98164,117142,126631,74339,83828,93317,112295,121784
C000132,0,94226,79186,83828,0,0,0,0,0,84737,94226,103715,122693,132182,79186,88675,98164,117142,126631,74339,83828,93317,112295,121784
C000134,0,24691,17828,17437,0,0,0,0,0,22299,24691,26399,29131,30839,17828,20219,21927,24660,26368,15046,17437,19145,21878,23586
C000135,0,24691,17828,17437,0,0,0,0,0,22299,24691,26399,29131,30839,17828,20219,21927,24660,26368,15046,17437,19145,21878,23586
C000137,0,28619,20830,21174,0,0,0,0,0,25431,28619,30896,34540,36818,20830,24019,26296,29940,32217,17986,21174,23451,27095,29372
C000138,0,28619,20830,21174,0,0,0,0,0,25431,28619,30896,34540,36818,20830,24019,26296,29940,32217,17986,21174,23451,27095,29372
C000140,0,134080,116901,120207,0,0,0,0,0,124591,134080,153058,191015,214737,116901,126390,145368,183325,207047,110718,120207,139185,177142,200864
C000141,0,134080,116901,120207,0,0,0,0,0,124591,134080,153058,191015,214737,116901,126390,145368,183325,207047,110718,120207,139185,177142,200864
