sku,22k,18k,14k,9k
GR00001,39093,28083,,
GR00002,39093,28083,,
GR00003,21131,15180,,
GR00004,21131,15180,,
GR00005,33810,24288,,
GR00006,33810,24288,,
GR00007,37402,26869,,
GR00008,37402,26869,,
GR00009,22399,16091,,
GR00010,22399,16091,,
GR00011,32542,23377,,
GR00012,32542,23377,,
GR00013,35289,25351,,
GR00014,35289,25351,,
GR00015,42262,30360,,
GR00016,42262,30360,,
GR00017,35923,25806,,
GR00018,35923,25806,,
GR00019,34232,24592,,
GR00020,34232,24592,,
GR00021,35078,25199,,
GR00022,35078,25199,,
GR00023,43319,31119,,
GR00024,43319,31119,,
GR00025,31697,22770,,
GR00026,31697,22770,,
GR00027,35712,25654,,
GR00028,35712,25654,,
GR00029,33387,23984,,
GR00030,33387,23984,,
GR00031,25357,18216,,
GR00032,25357,18216,,
GR00033,33810,24288,,
GR00034,33810,24288,,
GR00035,12679,9108,,
GR00036,12679,9108,,
GR00037,12256,8804,,
GR00038,12256,8804,,
GR00039,8452,6072,,
GR00040,8452,6072,,
GR00041,22399,16091,,
GR00042,22399,16091,,
GR00043,36979,26565,,
GR00044,36979,26565,,
GR00045,35289,25351,,
GR00046,35289,25351,,
GR00047,35500,25502,,
GR00048,35500,25502,,
GR00049,35289,25351,,
GR00050,35289,25351,,
GR00051,38670,27779,,
GR00052,38670,27779,,
C002843,21131,15180,,
C002844,21131,15180,,
C003182,35923,25806,,
C003183,35923,25806,,
C003194,13524,9715,,
C003195,13524,9715,,
C003401,19018,13662,,
C003402,19018,13662,,
C002774,16905,12144,,
C002775,16905,12144,,
C001547,29584,21252,,
C001548,29584,21252,,
C001688,16905,12144,,
C001689,16905,12144,,
C005324,25357,18216,,
C005325,25357,18216,,
C005318,14792,10626,,
C005319,14792,10626,,
GR00053,35712,25654,,
GR00054,35712,25654,,
GR00055,31485,22618,,
GR00056,31485,22618,,
GR00057,32542,23377,,
GR00058,32542,23377,,
GR00059,35712,25654,,
GR00060,35712,25654,,
GR00061,12679,9108,,
GR00062,12679,9108,,
GR00063,40149,28842,,
GR00064,40149,28842,,
GR00065,45643,32789,,
GR00066,45643,32789,,
GR00067,41840,30056,,
GR00068,41840,30056,,
GR00069,41417,29753,,
GR00070,41417,29753,,
GR00071,33810,24288,,
GR00072,33810,24288,,
GR00073,43530,31271,,
GR00074,43530,31271,,
GR00075,10566,7590,,
GR00076,10566,7590,,
GR00077,19863,14269,,
GR00078,19863,14269,,
GR00079,19229,13814,,
GR00080,19229,13814,,
GR00081,10481,7529,,
GR00082,10481,7529,,
GR00083,7607,5465,,
GR00084,7607,5465,,
GR00085,14580,10474,,
GR00086,14580,10474,,
GR00087,18722,13449,,
GR00088,18722,13449,,
GR00089,17961,12903,,
GR00090,17961,12903,,
GR00091,15637,11233,,
GR00092,15637,11233,,
GR00093,15214,10930,,
GR00094,15214,10930,,
GR00095,15637,11233,,
GR00096,15637,11233,,
GR00097,17539,12599,,
GR00098,17539,12599,,
GR00099,14792,10626,,
GR00100,14792,10626,,
GR00101,13735,9867,,
GR00102,13735,9867,,
GR00103,12341,8865,,
GR00104,12341,8865,,
GR00105,13989,10049,,
GR00106,13989,10049,,
GR00107,16356,11749,,
GR00108,16356,11749,,
GR00109,9720,6983,,
GR00110,9720,6983,,
GR00111,14792,10626,,
GR00112,14792,10626,,
GR00113,36937,26535,,
GR00114,36937,26535,,
GR00115,28696,20614,,
GR00116,28696,20614,,
GR00117,19610,14087,,
GR00118,19610,14087,,
GR00119,31274,22466,,
GR00120,31274,22466,,
GR00121,19060,13692,,
GR00122,19060,13692,,
GR00123,26245,18854,,
GR00124,26245,18854,,
GR00125,20624,14816,,
GR00126,20624,14816,,
GR00127,19948,14330,,
GR00128,19948,14330,,
GR00129,29203,20979,,
GR00130,29203,20979,,
GR00131,26921,19339,,
GR00132,26921,19339,,
GR00133,21131,15180,,
GR00134,21131,15180,,
GR00135,16905,12144,,
GR00136,16905,12144,,
GR00137,12679,9108,,
GR00138,12679,9108,,
GR00139,25357,18216,,
GR00140,25357,18216,,
GR00141,10777,7742,,
GR00142,10777,7742,,
GR00143,22188,15939,,
GR00144,22188,15939,,
GR00145,11411,8197,,
GR00146,11411,8197,,
GR00147,16567,11901,,
GR00148,16567,11901,,
GR00149,14369,10322,,
GR00150,14369,10322,,
GR00151,17328,12448,,
GR00152,17328,12448,,
GR00153,19779,14208,,
GR00154,19779,14208,,
GR00155,21554,15484,,
GR00156,21554,15484,,
GR00157,21047,15119,,
