sku,22k,18k,14k,9k
C003663,,34245,29633,26880
C003665,,59624,55740,53305
C003666,,59624,55740,53305
C003668,,200189,195662,191519
C003669,,200189,195662,191519
C003671,,58010,54939,52820
C003672,,58010,54939,52820
C003674,,196792,192909,190473
C003675,,196792,192909,190473
C003677,,195178,192107,189989
C003678,,195178,192107,189989
C003680,,58010,54939,52820
C003681,,58010,54939,52820
C003683,,240618,236006,233253
C003684,,240618,236006,233253
C003686,,66333,63458,61869
C003687,,66333,63458,61869
C003689,,205031,202445,199520
C003690,,205031,202445,199520
C003692,,27841,24770,22652
C003693,,27841,24770,22652
C003695,,75302,70120,67156
C003696,,75302,70120,67156
C003698,,31629,27746,25310
C003699,,31629,27746,25310
C003701,,214645,209463,206498
C003702,,214645,209463,206498
C003704,,27858,24218,21887
C003705,,27858,24218,21887
C003707,,26601,20053,16114
C003708,,26601,20053,16114
C003710,,69323,63899,60826
C003711,,69323,63899,60826
C003713,,47716,42583,38174
C003714,,47716,42583,38174
C003716,,41940,35630,31764
C003717,,41940,35630,31764
C003719,,50111,41616,36426
C003720,,50111,41616,36426
C003722,,44964,38205,34179
C003723,,44964,38205,34179
C003725,,50774,43673,36406
C003726,,50774,43673,36406
C003728,,34143,27930,21084
C003729,,34143,27930,21084
C003731,,43588,36330,29975
C003732,,43588,36330,29975
C003734,,56719,50626,43834
C003735,,56719,50626,43834
C003737,,40564,33525,25727
C003738,,40564,33525,25727
C003740,,50340,39987,29966
C003741,,50340,39987,29966
C003743,,74198,67767,63848
C003744,,74198,67767,63848
C003746,,67913,63544,60896
C003747,,67913,63544,60896
C003749,,157926,152744,149779
C003750,,157926,152744,149779
C003752,,258165,251975,248164
C003753,,258165,251975,248164
C003755,,42331,36870,33374
C003756,,42331,36870,33374
C003758,,36012,32372,30041
C003759,,36012,32372,30041
C003761,,41855,37244,34490
C003762,,41855,37244,34490
C003764,,47070,39826,35589
C003765,,47070,39826,35589
C003767,,26499,22885,20544
C003768,,26499,22885,20544
C003770,,72449,63626,58331
C003771,,72449,63626,58331
C003773,,25480,23017,20145
C003774,,25480,23017,20145
C003776,,31001,25818,22854
C003777,,31001,25818,22854
C003779,,46799,41094,37493
C003780,,46799,41094,37493
C003782,,48327,41896,37977
C003783,,48327,41896,37977
C003785,,37745,33218,29075
C003786,,37745,33218,29075
C003788,,40480,33768,28300
C003789,,40480,33768,28300
C003791,,22287,17675,14921
C003792,,22287,17675,14921
C003794,,19144,16073,13955
C003795,,19144,16073,13955
C003797,,22457,19059,16834
C003798,,22457,19059,16834
C003800,,29268,24378,20075
C003801,,29268,24378,20075
C003803,,31052,26926,24385
C003804,,31052,26926,24385
C003806,,46374,42977,40751
C003807,,46374,42977,40751
C003809,,45457,39764,33185
C003810,,45457,39764,33185
C003812,,28436,25039,22813
C003813,,28436,25039,22813
C003815,,33753,28813,25954
C003816,,33753,28813,25954
C003818,,46476,39194,33515
C003819,,46476,39194,33515
C003821,,37677,34279,32054
C003822,,37677,34279,32054
C003824,,37133,33736,31511
C003825,,37133,33736,31511
C003827,,40887,37816,35698
C003828,,40887,37816,35698
C003830,,50875,43631,39394
C003831,,50875,43631,39394
C003833,,120063,116180,113744
C003834,,120063,116180,113744
C003836,,56787,50075,44607
C003837,,56787,50075,44607
C003839,,31528,26916,24162
C003840,,31528,26916,24162
C003842,,49686,44346,39885
C003843,,49686,44346,39885
C003845,,58893,53311,49763
C003846,,58893,53311,49763
C003848,,81690,72867,67572
C003849,,81690,72867,67572
C003851,,29642,26766,25178
C003852,,29642,26766,25178
C003854,,36607,34021,31096
C003855,,36607,34021,31096
C003857,,65824,60884,58025
C003858,,65824,60884,58025
C003860,,33464,29095,26447
C003861,,33464,29095,26447
C003863,,272417,265415,261284
C003864,,272417,265415,261284
C003866,,46918,43155,40772
C003867,,46918,43155,40772
C003869,,47563,42915,38718
C003870,,47563,42915,38718
C003872,,36454,32085,29436
C003873,,36454,32085,29436
C003875,,34789,30177,27423
C003876,,34789,30177,27423
C003878,,35214,30080,25672
C003879,,35214,30080,25672
C003881,,45881,38927,33354
C003882,,45881,38927,33354
C003884,,48192,41190,37058
C003885,,48192,41190,37058
C003887,,42552,37904,33707
C003888,,42552,37904,33707
C003890,,54511,48321,44509
C003891,,54511,48321,44509
C003893,,48752,43840,40969
C003894,,48752,43840,40969
C003896,,30016,26944,24826
C003897,,30016,26944,24826
C003899,,21692,17045,12847
C003900,,21692,17045,12847
C003902,,37626,30101,24317
C003903,,37626,30101,24317
C003905,,25056,20116,17257
C003906,,25056,20116,17257
C003908,,46646,40942,37340
C003909,,46646,40942,37340
C003911,,36878,31988,27685
C003912,,36878,31988,27685
C003914,,20724,16598,14057
C003915,,20724,16598,14057
C003917,,21217,16034,13070
C003918,,21217,16034,13070
C003920,,23527,19057,14925
C003921,,23527,19057,14925
C003923,,49177,43716,40220
C003924,,49177,43716,40220
C003926,,33464,29095,26447
C003927,,33464,29095,26447
C003929,,43401,39761,37430
C003930,,43401,39761,37430
C003932,,57925,52501,49428
C003933,,57925,52501,49428
C003935,,37014,32074,29216
C003936,,37014,32074,29216
C003938,,32105,27736,25088
C003939,,32105,27736,25088
C003941,,23917,19306,16552
C003942,,23917,19306,16552
C003944,,21777,17408,14760
C003945,,21777,17408,14760
C003947,,22898,18772,16231
C003948,,22898,18772,16231
C003950,,19195,15798,13572
C003951,,19195,15798,13572
C003953,,26092,21480,18726
C003954,,26092,21480,18726
C003956,,36827,30880,27174
C003957,,36827,30880,27174
C003959,,102193,93940,88856
C003960,,102193,93940,88856
C003962,,32717,26527,22715
C003963,,32717,26527,22715
C003965,,32666,27726,24867
C003966,,32666,27726,24867
C003968,,35129,28698,24779
C003969,,35129,28698,24779
C003971,,29455,25572,23136
C003972,,29455,25572,23136
C003974,,42637,40089,38606
C003975,,42637,40089,38606
C003977,,34653,28706,24999
C003978,,34653,28706,24999
C003980,,25871,20931,18072
C003981,,25871,20931,18072
C003983,,26143,21203,18344
C003984,,26143,21203,18344
C003986,,20129,14947,11982
C003987,,20129,14947,11982
C003989,,22287,17675,14921
C003990,,22287,17675,14921
C003992,,27179,22567,19813
C003993,,27179,22567,19813
C003995,,42586,37004,33456
C003996,,42586,37004,33456
C003998,,26330,21803,17659
C003999,,26330,21803,17659
C004001,,31816,25348,19987
C004002,,31816,25348,19987
C004004,,34568,29628,26770
C004005,,34568,29628,26770
C004007,,117039,110608,106689
C004008,,117039,110608,106689
C004010,,29506,23681,20027
C004011,,29506,23681,20027
C004013,,51215,44784,40865
C004014,,51215,44784,40865
C004016,,35842,30782,27869
C004017,,35842,30782,27869
C004019,,32954,28137,25329
C004020,,32954,28137,25329
C004022,,51810,46771,42426
C004023,,51810,46771,42426
C004025,,34228,29980,27386
C004026,,34228,29980,27386
C004028,,33464,29581,27145
C004029,,33464,29581,27145
C004031,,29285,23824,20328
C004032,,29285,23824,20328
C004034,,85444,80796,76599
C004035,,85444,80796,76599
C004037,,310689,301319,293376
C004038,,310689,301319,293376
C004040,,166980,159455,153671
C004041,,166980,159455,153671
C004043,,312472,305227,300991
