sku,22k,18k,14k,9k,siij_price_22,sigh_price_22,vsgh_price_22,vvsgh_price_22,vvsef_price_22,siij_price_18,sigh_price_18,vsgh_price_18,vvsgh_price_18,vvsef_price_18,siij_price_14,sigh_price_14,vsgh_price_14,vvsgh_price_14,vvsef_price_14,siij_price_9,sigh_price_9,vsgh_price_9,vvsgh_price_9,vvsef_price_9
C000125,0,18409,15545,12304,0,0,0,0,0,17270,18409,20003,21825,22964,14406,15545,17139,18961,20100,11165,12304,13898,15720,16858
C000126,0,18409,15545,12304,0,0,0,0,0,17270,18409,20003,21825,22964,14406,15545,17139,18961,20100,11165,12304,13898,15720,16858
C000128,0,35072,30251,27344,0,0,0,0,0,30555,35072,38298,43460,46686,25734,30251,33477,38639,41866,22827,27344,30570,35732,38958
C000129,0,35072,30251,27344,0,0,0,0,0,30555,35072,38298,43460,46686,25734,30251,33477,38639,41866,22827,27344,30570,35732,38958
C000131,0,92518,87781,83287,0,0,0,0,0,83029,92518,102007,120985,130474,78292,87781,97270,116248,125738,73798,83287,92776,111754,121244
C000132,0,92518,87781,83287,0,0,0,0,0,83029,92518,102007,120985,130474,78292,87781,97270,116248,125738,73798,83287,92776,111754,121244
C000134,0,21464,18562,15298,0,0,0,0,0,19073,21464,23172,25905,27613,16171,18562,20271,23003,24711,12907,15298,17006,19739,21447
C000135,0,21464,18562,15298,0,0,0,0,0,19073,21464,23172,25905,27613,16171,18562,20271,23003,24711,12907,15298,17006,19739,21447
C000137,0,27291,23332,20760,0,0,0,0,0,24102,27291,29568,33212,35489,20143,23332,25609,29253,31530,17572,20760,23038,26681,28959
C000138,0,27291,23332,20760,0,0,0,0,0,24102,27291,29568,33212,35489,20143,23332,25609,29253,31530,17572,20760,23038,26681,28959
C000140,0,131708,125174,119473,0,0,0,0,0,122219,131708,150686,188642,212365,115685,125174,144152,182108,205831,109984,119473,138451,176407,200130
C000141,0,131708,125174,119473,0,0,0,0,0,122219,131708,150686,188642,212365,115685,125174,144152,182108,205831,109984,119473,138451,176407,200130
C000143,0,30820,26000,23093,0,0,0,0,0,27234,30820,33382,37482,40044,22413,26000,28562,32661,35223,19506,23093,25655,29754,32316
C000144,0,30820,26000,23093,0,0,0,0,0,27234,30820,33382,37482,40044,22413,26000,28562,32661,35223,19506,23093,25655,29754,32316
C000146,0,62818,55188,49019,0,0,0,0,0,58073,62818,69460,81796,86540,50444,55188,61831,74166,78911,44274,49019,55661,67997,72741
C000147,0,62818,55188,49019,0,0,0,0,0,58073,62818,69460,81796,86540,50444,55188,61831,74166,78911,44274,49019,55661,67997,72741
C000149,0,22717,17128,13886,0,0,0,0,0,21255,22717,23761,25431,26474,15666,17128,18172,19842,20885,12425,13886,14930,16600,17644
