sku,22k,18k,14k,9k
GR00001,38476,27654,,
GR00002,38476,27654,,
GR00003,20798,14948,,
GR00004,20798,14948,,
GR00005,33276,23917,,
GR00006,33276,23917,,
GR00007,36812,26458,,
GR00008,36812,26458,,
GR00009,22046,15845,,
GR00010,22046,15845,,
GR00011,32029,23020,,
GR00012,32029,23020,,
GR00013,34732,24963,,
GR00014,34732,24963,,
GR00015,41596,29896,,
GR00016,41596,29896,,
GR00017,35356,25412,,
GR00018,35356,25412,,
GR00019,33692,24216,,
GR00020,33692,24216,,
GR00021,34524,24814,,
GR00022,34524,24814,,
GR00023,42635,30643,,
GR00024,42635,30643,,
GR00025,31197,22422,,
GR00026,31197,22422,,
GR00027,35148,25262,,
GR00028,35148,25262,,
GR00029,32860,23618,,
GR00030,32860,23618,,
GR00031,24957,17938,,
GR00032,24957,17938,,
GR00033,33276,23917,,
GR00034,33276,23917,,
GR00035,12479,8969,,
GR00036,12479,8969,,
GR00037,12063,8670,,
GR00038,12063,8670,,
GR00039,8319,5979,,
GR00040,8319,5979,,
GR00041,22046,15845,,
GR00042,22046,15845,,
GR00043,36396,26159,,
GR00044,36396,26159,,
GR00045,34732,24963,,
GR00046,34732,24963,,
GR00047,34940,25113,,
GR00048,34940,25113,,
GR00049,34732,24963,,
GR00050,34732,24963,,
GR00051,38060,27355,,
GR00052,38060,27355,,
C002843,20798,14948,,
C002844,20798,14948,,
C003182,35356,25412,,
C003183,35356,25412,,
C003194,13311,9567,,
C003195,13311,9567,,
C003401,18718,13453,,
C003402,18718,13453,,
C002774,16638,11958,,
C002775,16638,11958,,
C001547,29117,20927,,
C001548,29117,20927,,
C001688,16638,11958,,
C001689,16638,11958,,
C005324,24957,17938,,
C005325,24957,17938,,
C005318,14558,10464,,
C005319,14558,10464,,
GR00053,35148,25262,,
GR00054,35148,25262,,
GR00055,30989,22273,,
GR00056,30989,22273,,
GR00057,32029,23020,,
GR00058,32029,23020,,
GR00059,35148,25262,,
GR00060,35148,25262,,
GR00061,12479,8969,,
GR00062,12479,8969,,
GR00063,39516,28401,,
GR00064,39516,28401,,
GR00065,44923,32288,,
GR00066,44923,32288,,
GR00067,41180,29597,,
GR00068,41180,29597,,
GR00069,40764,29298,,
GR00070,40764,29298,,
GR00071,33276,23917,,
GR00072,33276,23917,,
GR00073,42843,30793,,
GR00074,42843,30793,,
GR00075,10399,7474,,
GR00076,10399,7474,,
GR00077,19550,14051,,
GR00078,19550,14051,,
GR00079,18926,13603,,
GR00080,18926,13603,,
GR00081,10316,7414,,
GR00082,10316,7414,,
GR00083,7487,5381,,
GR00084,7487,5381,,
GR00085,14350,10314,,
GR00086,14350,10314,,
GR00087,18427,13244,,
GR00088,18427,13244,,
GR00089,17678,12706,,
GR00090,17678,12706,,
GR00091,15390,11062,,
GR00092,15390,11062,,
GR00093,14974,10763,,
GR00094,14974,10763,,
GR00095,15390,11062,,
GR00096,15390,11062,,
GR00097,17262,12407,,
GR00098,17262,12407,,
GR00099,14558,10464,,
GR00100,14558,10464,,
GR00101,13519,9716,,
GR00102,13519,9716,,
GR00103,12146,8730,,
GR00104,12146,8730,,
GR00105,13768,9896,,
GR00106,13768,9896,,
GR00107,16097,11570,,
GR00108,16097,11570,,
GR00109,9567,6876,,
GR00110,9567,6876,,
GR00111,14558,10464,,
GR00112,14558,10464,,
GR00113,36355,26129,,
GR00114,36355,26129,,
GR00115,28243,20299,,
GR00116,28243,20299,,
GR00117,19300,13872,,
GR00118,19300,13872,,
GR00119,30781,22123,,
GR00120,30781,22123,,
GR00121,18760,13483,,
GR00122,18760,13483,,
GR00123,25831,18565,,
GR00124,25831,18565,,
GR00125,20299,14589,,
GR00126,20299,14589,,
GR00127,19633,14111,,
GR00128,19633,14111,,
GR00129,28743,20658,,
GR00130,28743,20658,,
GR00131,26496,19044,,
GR00132,26496,19044,,
GR00133,20798,14948,,
GR00134,20798,14948,,
GR00135,16638,11958,,
GR00136,16638,11958,,
GR00137,12479,8969,,
GR00138,12479,8969,,
GR00139,24957,17938,,
GR00140,24957,17938,,
GR00141,10607,7623,,
GR00142,10607,7623,,
GR00143,21838,15695,,
GR00144,21838,15695,,
GR00145,11231,8072,,
GR00146,11231,8072,,
GR00147,16305,11719,,
GR00148,16305,11719,,
GR00149,14142,10165,,
GR00150,14142,10165,,
