sku,22k,18k,14k,9k,siij_price_22,sigh_price_22,vsgh_price_22,vvsgh_price_22,vvsef_price_22,siij_price_18,sigh_price_18,vsgh_price_18,vvsgh_price_18,vvsef_price_18,siij_price_14,sigh_price_14,vsgh_price_14,vvsgh_price_14,vvsef_price_14,siij_price_9,sigh_price_9,vsgh_price_9,vvsgh_price_9,vvsef_price_9
C000125,0,16137,13741,10909,0,0,0,0,0,15118,16137,17564,19195,20214,12721,13741,15168,16798,17817,9890,10909,12336,13967,14986
C000126,0,16137,13741,10909,0,0,0,0,0,15118,16137,17564,19195,20214,12721,13741,15168,16798,17817,9890,10909,12336,13967,14986
C000128,0,30882,26837,24330,0,0,0,0,0,26839,30882,33770,38390,41278,22795,26837,29725,34346,37233,20287,24330,27218,31838,34726
C000129,0,30882,26837,24330,0,0,0,0,0,26839,30882,33770,38390,41278,22795,26837,29725,34346,37233,20287,24330,27218,31838,34726
C000131,0,82301,78294,74382,0,0,0,0,0,73808,82301,90794,107781,116275,69800,78294,86787,103774,112267,65888,74382,82875,99862,108355
C000132,0,82301,78294,74382,0,0,0,0,0,73808,82301,90794,107781,116275,69800,78294,86787,103774,112267,65888,74382,82875,99862,108355
C000134,0,18872,16440,13588,0,0,0,0,0,16732,18872,20401,22847,24376,14299,16440,17969,20415,21944,11447,13588,15117,17563,19091
C000135,0,18872,16440,13588,0,0,0,0,0,16732,18872,20401,22847,24376,14299,16440,17969,20415,21944,11447,13588,15117,17563,19091
C000137,0,24002,20673,18454,0,0,0,0,0,21149,24002,26041,29302,31341,17819,20673,22711,25973,28011,15601,18454,20493,23754,25793
C000138,0,24002,20673,18454,0,0,0,0,0,21149,24002,26041,29302,31341,17819,20673,22711,25973,28011,15601,18454,20493,23754,25793
C000140,0,117124,111664,106711,0,0,0,0,0,108631,117124,134111,168084,189318,103171,111664,128651,162625,183858,98218,106711,123698,157672,178905
C000141,0,117124,111664,106711,0,0,0,0,0,108631,117124,134111,168084,189318,103171,111664,128651,162625,183858,98218,106711,123698,157672,178905
C000143,0,27077,23032,20525,0,0,0,0,0,23866,27077,29370,33039,35333,19822,23032,25326,28995,31288,17315,20525,22818,26488,28781
C000144,0,27077,23032,20525,0,0,0,0,0,23866,27077,29370,33039,35333,19822,23032,25326,28995,31288,17315,20525,22818,26488,28781
C000146,0,55462,48985,43626,0,0,0,0,0,51215,55462,61407,72449,76695,44738,48985,54930,65972,70218,39379,43626,49571,60612,64859
C000147,0,55462,48985,43626,0,0,0,0,0,51215,55462,61407,72449,76695,44738,48985,54930,65972,70218,39379,43626,49571,60612,64859
C000149,0,19824,15064,12268,0,0,0,0,0,18516,19824,20758,22253,23187,13756,15064,15998,17493,18427,10960,12268,13202,14697,15631
C000150,0,19824,15064,12268,0,0,0,0,0,18516,19824,20758,22253,23187,13756,15064,15998,17493,18427,10960,12268,13202,14697,15631
C000152,0,54120,48767,45297,0,0,0,0,0,46034,54120,59895,69136,74912,40682,48767,54543,63784,69559,37211,45297,51073,60313,66089
C000153,0,54120,48767,45297,0,0,0,0,0,46034,54120,59895,69136,74912,40682,48767,54543,63784,69559,37211,45297,51073,60313,66089
C000155,0,188129,183491,180310,0,0,0,0,0,170293,188129,223801,271364,312982,165655,183491,219164,266727,308344,162474,180310,215982,263545,305163
C000156,0,188129,183491,180310,0,0,0,0,0,170293,188129,223801,271364,312982,165655,183491,219164,266727,308344,162474,180310,215982,263545,305163
C000158,0,33991,29183,25934,0,0,0,0,0,30067,33991,36793,41278,44081,25259,29183,31986,36471,39273,22010,25934,28737,33221,36024
C000159,0,33991,29183,25934,0,0,0,0,0,30067,33991,36793,41278,44081,25259,29183,31986,36471,39273,22010,25934,28737,33221,36024
C000161,0,29676,25112,20950,0,0,0,0,0,26584,29676,31884,35417,37626,22020,25112,27320,30853,33061,17858,20950,23158,26691,28900
C000162,0,29676,25112,20950,0,0,0,0,0,26584,29676,31884,35417,37626,22020,25112,27320,30853,33061,17858,20950,23158,26691,28900
